Time,x,y,z
10 Oct 2022 04:00:01.000000000,-739.7616817748395,-1025.0825528904204,7038.377612343439
10 Oct 2022 04:00:02.000000000,-739.6494092161558,-1032.4708441304433,7037.309408251619
10 Oct 2022 04:00:03.000000000,-739.5363304194212,-1039.8580099489548,7036.233533299954
10 Oct 2022 04:00:04.000000000,-739.4224455077768,-1047.2440422938287,7035.149988661179
10 Oct 2022 04:00:05.000000000,-739.3077546055013,-1054.6289331139865,7034.0587755163815
10 Oct 2022 04:00:06.000000000,-739.1922578374703,-1062.0126743597957,7032.959895055016
10 Oct 2022 04:00:07.000000000,-739.0759553296956,-1069.3952579826923,7031.853348474895
10 Oct 2022 04:00:08.000000000,-738.9588472089032,-1076.7766759354895,7030.739136982183
10 Oct 2022 04:00:09.000000000,-738.8409336027204,-1084.1569201722593,7029.617261791402
10 Oct 2022 04:00:10.000000000,-738.722214639724,-1091.5359826482993,7028.4877241254235
10 Oct 2022 04:00:11.000000000,-738.602690449297,-1098.9138553202467,7027.350525215476
10 Oct 2022 04:00:12.000000000,-738.4823611616998,-1106.2905301460335,7026.205666301138
10 Oct 2022 04:00:13.000000000,-738.3612269081433,-1113.6659990848507,7025.053148630338
10 Oct 2022 04:00:14.000000000,-738.2392878206429,-1121.0402540972502,7023.892973459352
10 Oct 2022 04:00:15.000000000,-738.11654403209,-1128.4132871451106,7022.725142052796
10 Oct 2022 04:00:16.000000000,-737.9929956763293,-1135.7850901915897,7021.549655683647
10 Oct 2022 04:00:17.000000000,-737.8686428879815,-1143.1556552012535,7020.366515633214
10 Oct 2022 04:00:18.000000000,-737.7434858026445,-1150.5249741399516,7019.175723191152
10 Oct 2022 04:00:19.000000000,-737.6175245566928,-1157.893038974958,7017.977279655454
10 Oct 2022 04:00:20.000000000,-737.4907592874788,-1165.2598416748476,7016.771186332463
10 Oct 2022 04:00:21.000000000,-737.3631901331536,-1172.6253742096198,7015.5574445368475
10 Oct 2022 04:00:22.000000000,-737.2348172327721,-1179.9896285506422,7014.336055591624
10 Oct 2022 04:00:23.000000000,-737.1056407262377,-1187.352596670694,7013.107020828137
10 Oct 2022 04:00:24.000000000,-736.9756607544088,-1194.7142705439048,7011.870341586069
10 Oct 2022 04:00:25.000000000,-736.8448774588871,-1202.0746421458973,7010.626019213434
10 Oct 2022 04:00:26.000000000,-736.7132909823646,-1209.4337034535818,7009.374055066576
10 Oct 2022 04:00:27.000000000,-736.5809014681116,-1216.7914464454818,7008.114450510174
10 Oct 2022 04:00:28.000000000,-736.4477090605999,-1224.1478631013545,7006.84720691723
10 Oct 2022 04:00:29.000000000,-736.3137139048757,-1231.5029454025891,7005.572325669068
10 Oct 2022 04:00:30.000000000,-736.1789161470805,-1238.8566853318937,7004.289808155353
10 Oct 2022 04:00:31.000000000,-736.0433159340919,-1246.2090748735243,7002.999655774061
10 Oct 2022 04:00:32.000000000,-735.9069134137735,-1253.5601060131419,7001.701869931489
10 Oct 2022 04:00:33.000000000,-735.7697087347514,-1260.909770737953,7000.396452042264
10 Oct 2022 04:00:34.000000000,-735.6317020466392,-1268.2580610365899,6999.083403529328
10 Oct 2022 04:00:35.000000000,-735.4928934998117,-1275.604968899249,6997.762725823933
10 Oct 2022 04:00:36.000000000,-735.35328324563,-1282.9504863175655,6996.434420365659
10 Oct 2022 04:00:37.000000000,-735.2128714362159,-1290.2946052847587,6995.098488602397
10 Oct 2022 04:00:38.000000000,-735.0716582246811,-1297.6373177955024,6993.754931990346
10 Oct 2022 04:00:39.000000000,-734.9296437649216,-1304.978615846058,6992.40375199402
10 Oct 2022 04:00:40.000000000,-734.7868282117377,-1312.3184914342085,6991.044950086243
10 Oct 2022 04:00:41.000000000,-734.6432117207723,-1319.6569365593073,6989.678527748144
10 Oct 2022 04:00:42.000000000,-734.4987944486313,-1326.9939432222109,6988.3044864691665
10 Oct 2022 04:00:43.000000000,-734.3535765526431,-1334.3295034254345,6986.922827747043
10 Oct 2022 04:00:44.000000000,-734.2075581912493,-1341.6636091729329,6985.533553087829
10 Oct 2022 04:00:45.000000000,-734.0607395234337,-1348.99625247043,6984.136664005869
10 Oct 2022 04:00:46.000000000,-733.9131207094129,-1356.3274253250438,6982.732162023807
10 Oct 2022 04:00:47.000000000,-733.764701909946,-1363.6571197456792,6981.3200486725955
10 Oct 2022 04:00:48.000000000,-733.6154832869023,-1370.985327742716,6979.900325491469
10 Oct 2022 04:00:49.000000000,-733.4654650028748,-1378.3120413282438,6978.4729940279685
10 Oct 2022 04:00:50.000000000,-733.3146472214795,-1385.637252515893,6977.038055837924
10 Oct 2022 04:00:51.000000000,-733.1630301069564,-1392.9609533210653,6975.595512485456
10 Oct 2022 04:00:52.000000000,-733.0106138247601,-1400.2831357606274,6974.145365542977
10 Oct 2022 04:00:53.000000000,-732.8573985409026,-1407.603791853267,6972.687616591191
10 Oct 2022 04:00:54.000000000,-732.7033844223616,-1414.9229136192844,6971.22226721908
10 Oct 2022 04:00:55.000000000,-732.5485716371747,-1422.240493080554,6969.749319023913
10 Oct 2022 04:00:56.000000000,-732.3929603539016,-1429.5565222608122,6968.2687736112475
10 Oct 2022 04:00:57.000000000,-732.2365507423543,-1436.8709931852902,6966.780632594919
10 Oct 2022 04:00:58.000000000,-732.0793429728625,-1444.1838978810936,6965.284897597036
10 Oct 2022 04:00:59.000000000,-731.9213372168854,-1451.495228376911,6963.781570247998
10 Oct 2022 04:01:00.000000000,-731.7625336465868,-1458.8049767032207,6962.27065218647
