Time,x,y,z
10 Oct 2022 04:00:01.000000000,-1010.3044841738554,-739.9856654118446,-7040.490541449737
10 Oct 2022 04:00:02.000000000,-1002.9128652706769,-740.0955188016717,-7041.535727930679
10 Oct 2022 04:00:03.000000000,-995.5201531650625,-740.2045654670852,-7042.573238944973
10 Oct 2022 04:00:04.000000000,-988.1263559151859,-740.3128052893297,-7043.6030733617035
10 Oct 2022 04:00:05.000000000,-980.7314815805894,-740.420238150292,-7044.625230058318
10 Oct 2022 04:00:06.000000000,-973.3355382217887,-740.5268639329947,-7045.63970792064
10 Oct 2022 04:00:07.000000000,-965.9385339006468,-740.6326825211079,-7046.646505842863
10 Oct 2022 04:00:08.000000000,-958.5404766800679,-740.7376937993292,-7047.6456227275485
10 Oct 2022 04:00:09.000000000,-951.1413746241207,-740.8418976532122,-7048.637057485633
10 Oct 2022 04:00:10.000000000,-943.7412357980614,-740.9452939691321,-7049.620809036421
10 Oct 2022 04:00:11.000000000,-936.3400682682277,-741.0478826344029,-7050.596876307601
10 Oct 2022 04:00:12.000000000,-928.937880102078,-741.1496635372224,-7051.56525823523
10 Oct 2022 04:00:13.000000000,-921.5346793682334,-741.2506365666048,-7052.525953763748
10 Oct 2022 04:00:14.000000000,-914.1304741363684,-741.3508016125082,-7053.478961845971
10 Oct 2022 04:00:15.000000000,-906.725272477253,-741.4501585657682,-7054.424281443088
10 Oct 2022 04:00:16.000000000,-899.3190824627928,-741.5487073180448,-7055.36191152468
10 Oct 2022 04:00:17.000000000,-891.9119121659043,-741.6464477619567,-7056.291851068705
10 Oct 2022 04:00:18.000000000,-884.5037696606391,-741.7433797909235,-7057.214099061502
10 Oct 2022 04:00:19.000000000,-877.0946630220423,-741.8395032993271,-7058.128654497794
10 Oct 2022 04:00:20.000000000,-869.6846003262754,-741.9348181823495,-7059.0355163806935
10 Oct 2022 04:00:21.000000000,-862.2735896504934,-742.0293243361165,-7059.934683721693
10 Oct 2022 04:00:22.000000000,-854.8616390729005,-742.1230216576126,-7060.826155540679
10 Oct 2022 04:00:23.000000000,-847.4487566727098,-742.215910044724,-7061.709930865918
10 Oct 2022 04:00:24.000000000,-840.0349505301986,-742.3079893961627,-7062.586008734076
10 Oct 2022 04:00:25.000000000,-832.6202287265686,-742.3992596116153,-7063.454388190203
10 Oct 2022 04:00:26.000000000,-825.2045993441529,-742.4897205915025,-7064.315068287738
10 Oct 2022 04:00:27.000000000,-817.7880704660904,-742.5793722373289,-7065.16804808852
10 Oct 2022 04:00:28.000000000,-810.3706501767007,-742.6682144512627,-7066.013326662776
10 Oct 2022 04:00:29.000000000,-802.9523465610912,-742.7562471365541,-7066.850903089128
10 Oct 2022 04:00:30.000000000,-795.5331677054664,-742.8434701971918,-7067.6807764545965
10 Oct 2022 04:00:31.000000000,-788.1131216969005,-742.9298835381344,-7068.5029458546005
10 Oct 2022 04:00:32.000000000,-780.6922166234806,-743.0154870651544,-7069.317410392945
10 Oct 2022 04:00:33.000000000,-773.2704605741624,-743.1002806849773,-7070.124169181847
10 Oct 2022 04:00:34.000000000,-765.8478616388967,-743.1842643051414,-7070.923221341918
10 Oct 2022 04:00:35.000000000,-758.4244279084861,-743.2674378341344,-7071.7145660021615
10 Oct 2022 04:00:36.000000000,-751.0001674747097,-743.3498011812623,-7072.498202299999
10 Oct 2022 04:00:37.000000000,-743.575088430181,-743.4313542567801,-7073.274129381242
10 Oct 2022 04:00:38.000000000,-736.149198868474,-743.5120969717603,-7074.042346400108
10 Oct 2022 04:00:39.000000000,-728.7225068839933,-743.5920292382069,-7074.802852519219
10 Oct 2022 04:00:40.000000000,-721.2950205720373,-743.6711509689914,-7075.555646909607
10 Oct 2022 04:00:41.000000000,-713.8667480287519,-743.7494620778847,-7076.300728750699
10 Oct 2022 04:00:42.000000000,-706.437697351192,-743.8269624794963,-7077.038097230344
10 Oct 2022 04:00:43.000000000,-699.0078766371753,-743.9036520893912,-7077.767751544778
10 Oct 2022 04:00:44.000000000,-691.5772939854932,-743.9795308239019,-7078.489690898669
10 Oct 2022 04:00:45.000000000,-684.1459574955845,-744.0545986004083,-7079.203914505078
10 Oct 2022 04:00:46.000000000,-676.7138752679083,-744.1288553369948,-7079.9104215854795
10 Oct 2022 04:00:47.000000000,-669.281055403556,-744.2023009527938,-7080.609211369772
10 Oct 2022 04:00:48.000000000,-661.8475060045531,-744.2749353677045,-7081.300283096243
10 Oct 2022 04:00:49.000000000,-654.413235173639,-744.3467585025811,-7081.983636011612
10 Oct 2022 04:00:50.000000000,-646.9782510144229,-744.4177702790911,-7082.6592693710045
10 Oct 2022 04:00:51.000000000,-639.5425616311567,-744.4879706199015,-7083.327182437961
10 Oct 2022 04:00:52.000000000,-632.1061751290463,-744.557359448408,-7083.987374484436
10 Oct 2022 04:00:53.000000000,-624.6690996138892,-744.6259366890304,-7084.639844790809
10 Oct 2022 04:00:54.000000000,-617.231343192285,-744.6937022670301,-7085.284592645864
10 Oct 2022 04:00:55.000000000,-609.7929139716747,-744.7606561084739,-7085.921617346807
10 Oct 2022 04:00:56.000000000,-602.3538200600501,-744.8267981404605,-7086.5509181992675
10 Oct 2022 04:00:57.000000000,-594.9140695663268,-744.8921282908141,-7087.172494517288
10 Oct 2022 04:00:58.000000000,-587.4736705999533,-744.9566464883886,-7087.786345623334
10 Oct 2022 04:00:59.000000000,-580.0326312712182,-745.0203526628175,-7088.39247084829
10 Oct 2022 04:01:00.000000000,-572.5909596910243,-745.0832467446871,-7088.990869531465
