Node,Lon,Lat
0,7.050055292641917,0.8383295456720767
1,9.71246959741164,33.62295426181792
2,16.25837468855222,66.08388701503307
3,162.68575426388577,80.1551877403031
4,-177.6015237192507,48.2608613039885
5,-174.15061506279167,15.575737649210211
6,-171.73900417215015,-17.25042666948948
7,-168.1406816443395,-49.920439731434314
8,-143.9407420742387,-81.63711247161072
9,-1.600072797817714,-64.44378447204743
10,4.4367603571670715,-31.953932670400654
11,38.218416477718975,16.840146138876293
12,41.73986383291755,49.51675005352235
13,64.48237846576554,81.30010218335092
14,-151.6603392553115,64.8537724930849
15,-145.5722153503455,32.36596735942662
16,-142.97643411336904,-0.426568679000968
17,-140.35594006162367,-33.21523787889516
18,-134.01173616193444,-65.68853715373349
19,11.901783610326367,-80.54392160395474
20,32.38659869448633,-48.67224082694991
21,35.8338824715598,-15.988007205466742
22,67.04841999307803,0.7738165653213888
23,69.63893773601595,33.56372146009612
24,75.99601410923913,66.03784374767844
25,-136.89609880815883,80.25746534575866
26,-117.48687721473702,48.33341219433719
27,-114.12101706007313,15.642433768214909
28,-111.77291145939047,-17.18826578914346
29,-108.27450483055685,-49.86554691267731
30,-84.79153148240337,-81.63267206613003
31,58.60311199382208,-64.52300834865257
32,64.50205727971611,-32.023054865123946
33,98.18041239252544,16.84132338449719
34,101.5934441489845,49.52552582618607
35,123.74751298252873,81.35586596082088
36,-91.3971292299389,64.87381666473127
37,-85.49312146517279,32.373012013059686
38,-82.97748417494826,-0.425146407346226
39,-80.43797160264833,-33.219503345865036
40,-74.28620781308877,-65.706392224373
41,72.58234894884063,-80.5976751540393
42,92.52825103501404,-48.68366372047008
43,95.8696108174024,-15.992014717888154
44,127.04676795392663,0.8359632455188302
45,129.56825537710552,33.63048399534109
46,135.7742312076398,66.11543126958833
47,-76.17144324896529,80.24481243562663
48,-57.35955493229728,48.280413047554916
49,-54.09032097272877,15.582572931966913
50,-51.806441480862375,-17.252572199963954
51,-48.3978566796747,-49.935881637153145
52,-25.254199231720026,-81.73803906768335
53,118.84788275572924,-64.47793295183803
54,124.57168873212318,-31.965994745478095
55,158.16157394757988,16.95146548074018
56,161.5286528460777,49.638488514246646
57,-176.3097045670894,81.48076657171801
58,-31.229740686541046,64.77630694867368
59,-25.449953573348132,32.26730546864333
60,-22.978138057605427,-0.5341271313175499
61,-20.476809934282585,-33.330816657010544
62,-14.390505324612615,-65.8226729550243
63,133.19730022984342,-80.52546028657784
64,152.60985184875346,-48.58072056685554
65,155.88831971304657,-15.88444077440197
