Node,Lat,Lon,Alt
Iridium0_0,80.59948839337406,-61.87300873330244,793.6729141973414
Iridium0_1,64.07798068155948,66.60112043336,790.1357487174541
Iridium0_2,31.827171278206453,75.29347485051522,778.7773935341128
Iridium0_3,-0.8591371992546846,79.10030048163868,772.8677711305551
Iridium0_4,-33.53561745037837,82.98013959949986,779.3550555436714
Iridium0_5,-65.73656163230935,92.409237014121,790.6135101421869
Iridium0_6,-79.22730555239959,-134.2857537716096,793.4950406548103
Iridium0_7,-48.052534901329764,-107.66327842356462,784.6519935767338
Iridium0_8,-15.50606801001643,-102.64999992368024,774.3805398198496
Iridium0_9,17.22190523511424,-99.13410426134992,774.7244996315458
Iridium0_10,49.746898294816,-93.90295609517347,785.2790888895868
Iridium1_0,80.54753230766038,-31.64157761272134,793.6666023893529
Iridium1_1,64.08000460614923,96.46817476685466,790.1363455049133
Iridium1_2,31.83908180003055,105.25396823105258,778.7813640591503
Iridium1_3,-0.842922711931685,109.10116148312265,772.8675927515666
Iridium1_4,-33.51520667596592,113.02072347802869,779.3480615163052
Iridium1_5,-65.70643684473156,122.53596373552202,790.6050390363536
Iridium1_6,-79.20605827315462,-104.60622475706218,793.4921048320936
Iridium1_7,-48.06107826798667,-77.73462595645728,784.6551666610173
Iridium1_8,-15.520317608278136,-72.66757164393664,774.3832631525567
Iridium1_9,17.20375556620136,-69.11494442678521,774.7206941610846
Iridium1_10,49.7232160199592,-63.831995065997766,785.2703594446083
Iridium2_0,80.48329609274603,-1.5987773454676013,793.6587524583141
Iridium2_1,64.11400382442332,126.35486780385811,790.1463658165386
Iridium2_2,31.88140425134019,135.2233624610664,778.7954794847158
Iridium2_3,-0.7972056150918568,139.10175393878367,772.8671081034431
Iridium2_4,-33.466567333480896,143.04909919282883,779.3314032493438
Iridium2_5,-65.65163202258003,152.61201275194784,790.589607872043
Iridium2_6,-79.2178195791172,-74.93973330087285,793.4937306193816
Iridium2_7,-48.10061686739388,-47.79179296476465,784.6698504250112
Iridium2_8,-15.564526167607875,-42.6808720550063,774.3917264964628
Iridium2_9,17.156649020922643,-39.101173620046325,774.7108337245671
Iridium2_10,49.67243189925387,-33.78458454392454,785.251636221279
Iridium3_0,80.42405838493548,28.24745642504167,793.6514680351095
Iridium3_1,64.17095944400734,156.29134780809423,790.1631310531487
Iridium3_2,31.94282864854702,165.20984434897255,778.8159843464276
Iridium3_3,-0.7342364405653198,169.1019179725107,772.8664847906919
Iridium3_4,-33.40276471579176,173.0576743510547,779.3095703459389
Iridium3_5,-65.58693131275619,-177.38275945807024,790.5713571742411
Iridium3_6,-79.25953084535844,-45.19951531789825,793.4994828501035
Iridium3_7,-48.160609568054234,-17.819506777411462,784.6921264716228
Iridium3_8,-15.626861698344486,-12.686342248592208,774.4036969660729
Iridium3_9,17.0932229329265,-9.096479282919061,774.6975948461726
Iridium3_10,49.60821043819782,-3.773385791503475,785.2279514287902
Iridium4_0,80.38547630684458,57.94073905118017,793.6467002472286
Iridium4_1,64.2356958819518,-173.70510654048726,790.1821548743884
Iridium4_2,32.00691576763464,-164.7828949130852,778.8374013918749
Iridium4_3,-0.6708880129921581,-160.89834730905147,772.8659094354575
Iridium4_4,-33.340907565796634,-156.9557626529688,779.2884233784682
Iridium4_5,-65.52967942994412,-147.4492200953825,790.5551777341541
Iridium4_6,-79.32027213724301,-15.316437133876272,793.5078214807462
Iridium4_7,-48.22502049598826,12.18978133477091,784.7160377025998
Iridium4_8,-15.690629345106089,17.317531182705384,774.4159870435296
Iridium4_9,17.03047926098758,20.89793372742852,774.6845409197053
Iridium4_10,49.547776784509296,26.198780496498568,785.205656070085
Iridium5_0,80.3776078910253,87.56223447440927,793.6457256435642
Iridium5_1,64.29086145076424,-143.63496951086256,790.1983394187652
Iridium5_2,32.056482559209776,-134.75671753077137,778.8539821976505
Iridium5_3,-0.6241341462024691,-130.898926639729,772.8655180662859
Iridium5_4,-33.29755103379565,-126.98753635945361,779.2736130887437
Iridium5_5,-65.49512688021538,-117.56926191979747,790.545399594042
Iridium5_6,-79.38393598238196,14.742991702167526,793.5165129821941
Iridium5_7,-48.27657660360127,42.233751648877146,784.7351727679675
Iridium5_8,-15.738736814476983,47.32976304540892,774.4252887119535
Iridium5_9,16.985221996331227,50.88361290830759,774.6751513526262
Iridium5_10,49.50728448569939,56.13950946890334,785.1907135133902
