Node,Lon,Lat
0,7.054412340929277,3.1191930375139902
1,9.794202498116936,35.89221901353198
2,17.175667710957278,68.30882101673599
3,167.08457762983872,78.06342066571852
4,-177.41035418742192,46.00128383903649
5,-174.13577654281193,13.296913737265047
6,-171.71703850048013,-19.52797572451107
7,-167.88991294058565,-52.17604463428543
8,-134.25520811562802,-83.5129190998962
9,-0.9567992616861363,-62.20755098763961
10,4.498248489718693,-29.68224004430549
11,38.23755285566771,19.117983963276338
12,41.979185602035614,51.773111888898235
13,73.27237516172991,83.21841732293285
14,-151.00280985150047,62.61788084453409
15,-145.5112869303051,30.094339439796904
16,-142.97395256364155,-2.707576529200489
17,-140.27916880563566,-35.48495567647295
18,-133.14031588855212,-67.91568142431595
19,16.593729173243045,-78.4614768724464
20,32.57930688148778,-46.412772145247715
21,35.847440236239734,-13.709164034063027
22,67.0484736741772,3.05498864410806
23,69.71401220159166,35.83347407911312
24,76.88109852094499,68.26495811160282
25,-132.53523285900897,78.15967778362862
26,-117.30398966029203,46.07324678617787
27,-114.11064539575578,13.363303119652924
28,-111.75582540651695,-19.466175667584718
29,-108.0354424831395,-52.12197547362073
30,-75.34762447261846,-83.52967315588909
31,59.22956618212101,-62.28544926155259
32,64.55805701579041,-29.750989389897796
33,98.19404901296242,19.119547591640288
34,101.82060400634502,51.78274158561135
35,132.4089318814294,83.29081737044976
36,-90.76377248804508,62.63619187990679
37,-85.43895759750964,30.100910958314937
38,-82.97999009325719,-2.706505243571553
39,-80.36846092011564,-35.489729576370216
40,-73.44510507594936,-67.93572607255979
41,77.16853144715341,-78.5055906340289
42,92.71023138711529,-46.42344294227415
43,95.87784456557338,-13.712797822434808
44,127.04248259376816,3.1174348585275924
45,129.63729068853263,35.90063775639331
46,136.63736238301934,68.34428278733328
47,-71.94841962679904,78.13739285588804
48,-57.18668961712369,46.01955277323462
49,-54.08467024461471,13.303104100515842
50,-51.794045837021265,-19.530793446365642
51,-48.16851399347121,-52.19299107798168
52,-15.784189871135029,-83.64484265626183
53,119.45039429910855,-62.238780693760454
54,124.62155837643425,-29.693489556940285
55,158.17261310794817,19.229844397990377
56,161.75135692594833,51.896020101641774
57,-167.49855520127227,83.41553531485411
58,-30.614662010286686,62.53757642815138
59,-25.399721685119655,29.994906516392238
60,-22.983172556193626,-2.8156573005838643
61,-20.410422653641973,-35.601228179804
62,-13.556254143133222,-68.05276706744141
63,137.63894773607436,-78.42527142745162
64,152.78497369079292,-46.32002707202272
65,155.8936722979697,-13.60500637690303
