x y weight
0 1 4029.242745537449
0 10 4029.4353101564507
0 11 4246.909953471572
1 2 4029.2427455374495
1 12 3508.166759485951
10 9 4029.242745537443
10 21 4024.465006255024
11 12 4029.2427455374495
11 21 4029.4353101564484
11 22 4008.807811680647
2 3 4029.242745537451
12 13 4029.2427455374486
12 23 3215.80401314334
3 4 4029.2427455374495
4 5 4029.2427455374477
4 15 3571.709940760494
5 6 4029.2427455374527
5 16 4261.959949284527
15 14 4029.242745537449
15 16 4029.2427455374464
15 26 3285.0071257955738
6 7 4029.2427455374486
6 17 3981.55875811765
16 17 4029.2427455374527
16 27 4024.7482124447674
7 8 4029.242745537451
7 18 2919.90001373584
17 18 4029.2427455374477
17 28 3726.5344565201603
8 9 4029.2427455374536
18 19 4029.242745537447
18 29 2561.105377544528
9 20 2989.751938678459
21 20 4029.2427455374473
21 32 3772.342307269242
22 23 4029.242745537449
22 32 4029.4353101564516
22 33 4246.909953471573
13 14 4029.242745537451
23 24 4029.2427455374495
23 34 3508.166759485951
26 25 4029.242745537448
26 27 4029.242745537447
26 37 3571.7099407604946
27 28 4029.2427455374527
27 38 4261.9599492845255
28 29 4029.2427455374473
28 39 3981.55875811765
19 20 4029.2427455374527
20 31 2640.500626591372
31 30 4029.242745537453
31 32 4029.2427455374427
31 42 2989.7519386784593
32 43 4024.4650062550236
33 34 4029.24274553745
33 43 4029.435310156449
33 44 4008.8078116806455
24 25 4029.242745537451
34 35 4029.242745537449
34 45 3215.804013143339
37 36 4029.2427455374523
37 38 4029.2427455374454
37 48 3285.0071257955747
38 39 4029.242745537453
38 49 4024.748212444767
29 30 4029.24274553745
29 40 2919.9000137358394
39 40 4029.2427455374477
39 50 3726.5344565201585
40 41 4029.242745537448
40 51 2561.105377544527
43 42 4029.2427455374477
43 54 3772.34230726924
44 45 4029.2427455374486
44 54 4029.435310156451
44 55 4246.909953471573
35 36 4029.2427455374514
45 46 4029.2427455374504
45 56 3508.1667594859505
48 47 4029.24274553745
48 49 4029.2427455374477
48 59 3571.709940760494
49 50 4029.2427455374523
49 60 4261.959949284526
50 51 4029.2427455374473
50 61 3981.558758117648
41 42 4029.2427455374527
42 53 2640.5006265913703
53 52 4029.2427455374545
53 54 4029.2427455374427
53 64 2989.751938678459
54 65 4024.4650062550245
55 56 4029.24274553745
55 65 4029.4353101564484
46 47 4029.242745537451
56 57 4029.2427455374495
59 58 4029.2427455374504
59 60 4029.242745537447
60 61 4029.2427455374527
51 52 4029.24274553745
51 62 2919.9000137358394
61 62 4029.2427455374486
62 63 4029.242745537447
65 64 4029.242745537448
57 58 4029.242745537451
63 64 4029.242745537453
