x y weight
0 1 4029.2427455374495
0 10 4029.4353101564525
0 11 4255.3535987109135
1 2 4029.24274553745
1 12 3542.2129611801124
10 9 4029.2427455374423
10 21 4001.989939172776
11 12 4029.2427455374495
11 21 4029.4353101564498
11 22 4017.7520523145618
2 3 4029.242745537452
12 13 4029.2427455374495
12 23 3252.9126139208915
3 4 4029.2427455374495
4 5 4029.2427455374477
4 15 3538.099130196625
5 6 4029.2427455374536
5 16 4254.380486454731
15 14 4029.24274553745
15 16 4029.2427455374477
15 26 3248.4302160272805
6 7 4029.2427455374473
6 17 4004.7654269927507
16 17 4029.242745537454
16 27 4016.7209590491716
7 8 4029.2427455374504
7 18 2957.0855256912996
17 18 4029.2427455374486
17 28 3751.319666601504
8 9 4029.2427455374536
18 19 4029.2427455374477
18 29 2603.420636382215
9 20 2952.4481265956756
21 20 4029.242745537449
21 32 3748.3552339627995
22 23 4029.24274553745
22 32 4029.435310156453
22 33 4255.353598710912
13 14 4029.2427455374514
23 24 4029.2427455374504
23 34 3542.212961180114
26 25 4029.24274553745
26 27 4029.2427455374486
26 37 3538.099130196624
27 28 4029.242745537453
27 38 4254.380486454731
28 29 4029.2427455374477
28 39 4004.7654269927475
19 20 4029.2427455374545
20 31 2598.187130039571
31 30 4029.2427455374545
31 32 4029.2427455374427
31 42 2952.4481265956747
32 43 4001.989939172776
33 34 4029.2427455374514
33 43 4029.43531015645
33 44 4017.752052314558
24 25 4029.2427455374514
34 35 4029.242745537451
34 45 3252.91261392089
37 36 4029.2427455374504
37 38 4029.2427455374473
37 48 3248.430216027281
38 39 4029.242745537454
38 49 4016.7209590491702
29 30 4029.242745537449
29 40 2957.0855256912996
39 40 4029.2427455374486
39 50 3751.3196666015024
40 41 4029.242745537448
40 51 2603.420636382215
43 42 4029.2427455374486
43 54 3748.3552339627972
44 45 4029.2427455374495
44 54 4029.435310156453
44 55 4255.353598710913
35 36 4029.2427455374514
45 46 4029.2427455374527
45 56 3542.212961180114
48 47 4029.2427455374495
48 49 4029.242745537447
48 59 3538.0991301966246
49 50 4029.2427455374536
49 60 4254.38048645473
50 51 4029.242745537448
50 61 4004.7654269927484
41 42 4029.242745537455
42 53 2598.187130039569
53 52 4029.242745537455
53 54 4029.2427455374414
53 64 2952.448126595674
54 65 4001.9899391727745
55 56 4029.2427455374504
55 65 4029.4353101564498
46 47 4029.2427455374523
56 57 4029.242745537451
59 58 4029.24274553745
59 60 4029.242745537447
60 61 4029.2427455374536
51 52 4029.2427455374514
51 62 2957.0855256913
61 62 4029.2427455374495
62 63 4029.242745537448
65 64 4029.242745537447
57 58 4029.2427455374514
63 64 4029.2427455374536
