x y weight
0 1 4029.242745537449
0 10 4029.4353101564516
0 11 4241.485388536684
1 2 4029.242745537449
1 12 3487.9187277581887
10 9 4029.2427455374427
10 21 4037.2912139869836
11 12 4029.24274553745
11 21 4029.4353101564498
11 22 4003.060493874478
2 3 4029.242745537451
12 13 4029.242745537451
12 23 3193.7023490092433
3 4 4029.2427455374495
4 5 4029.2427455374454
4 15 3591.238856020652
5 6 4029.242745537453
5 16 4265.95733857966
15 14 4029.24274553745
15 16 4029.2427455374464
15 26 3306.2305145855867
6 7 4029.242745537449
6 17 3967.5242468679894
16 17 4029.2427455374536
16 27 4028.9810682585335
7 8 4029.2427455374495
7 18 2898.1087031722027
17 18 4029.242745537448
17 28 3711.5353983356094
8 9 4029.242745537453
18 19 4029.242745537448
18 29 2536.2332265203895
9 20 3011.7389049322337
21 20 4029.2427455374473
21 32 3786.0230801550665
22 23 4029.2427455374495
22 32 4029.435310156453
22 33 4241.485388536685
13 14 4029.242745537451
23 24 4029.2427455374504
23 34 3487.9187277581914
26 25 4029.242745537448
26 27 4029.242745537445
26 37 3591.2388560206523
27 28 4029.242745537453
27 38 4265.957338579659
28 29 4029.2427455374486
28 39 3967.5242468679903
19 20 4029.242745537453
20 31 2665.3702237861216
31 30 4029.242745537454
31 32 4029.24274553744
31 42 3011.7389049322346
32 43 4037.291213986984
33 34 4029.242745537451
33 43 4029.4353101564498
33 44 4003.060493874476
24 25 4029.242745537451
34 35 4029.242745537449
34 45 3193.7023490092442
37 36 4029.2427455374495
37 38 4029.2427455374454
37 48 3306.2305145855858
38 39 4029.242745537454
38 49 4028.9810682585316
29 30 4029.2427455374514
29 40 2898.108703172203
39 40 4029.2427455374473
39 50 3711.535398335606
40 41 4029.2427455374486
40 51 2536.233226520389
43 42 4029.242745537447
43 54 3786.023080155065
44 45 4029.242745537448
44 54 4029.43531015645
44 55 4241.485388536684
35 36 4029.24274553745
45 46 4029.242745537452
45 56 3487.918727758191
48 47 4029.2427455374495
48 49 4029.2427455374477
48 59 3591.238856020652
49 50 4029.242745537453
49 60 4265.957338579659
50 51 4029.24274553745
50 61 3967.524246867989
41 42 4029.242745537453
42 53 2665.3702237861203
53 52 4029.242745537454
53 54 4029.2427455374427
53 64 3011.738904932236
54 65 4037.2912139869836
55 56 4029.242745537448
55 65 4029.43531015645
46 47 4029.2427455374504
56 57 4029.2427455374495
59 58 4029.24274553745
59 60 4029.2427455374454
60 61 4029.242745537453
51 52 4029.24274553745
51 62 2898.1087031722027
61 62 4029.2427455374495
62 63 4029.242745537449
65 64 4029.2427455374473
57 58 4029.2427455374504
63 64 4029.2427455374545
