x y weight
0 1 4029.24274553745
0 10 4029.435310156452
0 11 4225.155278171392
1 2 4029.24274553745
1 12 3432.486719381357
10 9 4029.242745537441
10 21 4070.4377730947426
11 12 4029.242745537452
11 21 4029.435310156449
11 22 3985.7533024575782
2 3 4029.242745537451
12 13 4029.24274553745
12 23 3133.067555410942
3 4 4029.24274553745
4 5 4029.2427455374473
4 15 3643.021671456478
5 6 4029.242745537453
5 16 4275.037286721555
15 14 4029.2427455374495
15 16 4029.242745537447
15 26 3362.4069678853057
6 7 4029.2427455374486
6 17 3928.2403789585587
16 17 4029.242745537453
16 27 4038.5940949356714
7 8 4029.242745537451
7 18 2839.677396977732
17 18 4029.242745537448
17 28 3669.511096735121
8 9 4029.242745537453
18 19 4029.2427455374477
18 29 2469.2535908046543
9 20 3071.1742279396935
21 20 4029.2427455374473
21 32 3821.3506262580127
22 23 4029.242745537451
22 32 4029.435310156453
22 33 4225.155278171389
13 14 4029.24274553745
23 24 4029.242745537453
23 34 3432.486719381357
26 25 4029.242745537449
26 27 4029.242745537447
26 37 3643.0216714564776
27 28 4029.242745537453
27 38 4275.037286721554
28 29 4029.2427455374495
28 39 3928.240378958557
19 20 4029.2427455374523
20 31 2732.3504841138265
31 30 4029.242745537454
31 32 4029.2427455374404
31 42 3071.1742279396917
32 43 4070.4377730947426
33 34 4029.2427455374514
33 43 4029.4353101564493
33 44 3985.7533024575755
24 25 4029.242745537451
34 35 4029.242745537451
34 45 3133.0675554109434
37 36 4029.2427455374486
37 38 4029.242745537446
37 48 3362.4069678853043
38 39 4029.2427455374536
38 49 4038.59409493567
29 30 4029.2427455374514
29 40 2839.677396977732
39 40 4029.24274553745
39 50 3669.5110967351175
40 41 4029.2427455374486
40 51 2469.2535908046525
43 42 4029.242745537447
43 54 3821.35062625801
44 45 4029.2427455374495
44 54 4029.4353101564525
44 55 4225.155278171391
35 36 4029.2427455374514
45 46 4029.242745537452
45 56 3432.4867193813575
48 47 4029.24274553745
48 49 4029.242745537447
48 59 3643.0216714564763
49 50 4029.2427455374527
49 60 4275.037286721555
50 51 4029.2427455374495
50 61 3928.2403789585587
41 42 4029.2427455374536
42 53 2732.3504841138265
53 52 4029.242745537454
53 54 4029.242745537442
53 64 3071.1742279396917
54 65 4070.437773094743
55 56 4029.242745537452
55 65 4029.4353101564498
46 47 4029.2427455374514
56 57 4029.242745537451
59 58 4029.242745537448
59 60 4029.2427455374464
60 61 4029.242745537454
51 52 4029.242745537451
51 62 2839.6773969777323
61 62 4029.242745537448
62 63 4029.242745537448
65 64 4029.242745537447
57 58 4029.2427455374504
63 64 4029.2427455374527
