node x y z
0 -3580.631531525638 6189.33692510486 89.37148861853183
1 -3221.537856402548 5030.022299724812 3931.5862579926165
2 -1839.6286741704314 2273.7111346213815 6525.550169715091
3 126.34961391571422 -1204.4872504491523 7047.698009887254
4 2052.2127923273315 -4300.26944400231 5332.251528574782
5 3326.5129094177073 -6030.746473336692 1923.852862828752
6 3544.668681785023 -5846.5041086050505 -2095.3554935706493
7 2637.4171931176875 -3806.0379988153363 -5449.303285835811
8 892.804380734879 -557.1817165811894 -7073.135787785232
9 -1135.2675142769447 2868.575823809604 -6451.297653502161
10 -2802.8999949227805 5383.580808529073 -3781.218096923178
11 -6002.936165581611 3300.106463293452 2052.036969179925
12 -4216.00747495251 1996.4804847963762 5419.976719965849
13 -1090.5261999113245 58.986058833469855 7067.112157888132
14 2381.189438311783 -1897.2360240334879 6470.489419509315
15 5096.894254551491 -3251.09907449898 3819.53200872985
16 6194.371157904999 -3572.761139979414 -44.09982729778432
17 5325.178985958818 -2760.096787440299 -3893.730279752868
18 2765.280111887449 -1071.1212068008786 -6507.128880169898
19 -672.5756591725759 957.9277888170245 -7054.560038308603
20 -3896.8934106378333 2682.8414798798476 -5362.21822942367
21 -5883.975038358676 3555.971957132886 -1967.4100203202486
22 -7150.438763695201 -6.249420500480773 89.37243080754774
23 -5966.895502730501 -274.92313995496056 3931.586998479345
24 -2888.9050797178397 -456.310704987823 6525.550473400229
25 1106.2922940773456 -492.8228453244252 7047.6977803529135
26 4750.249681190797 -372.86721439035205 5332.250838696496
27 6886.036358186554 -134.5288774411852 1923.8519316380016
28 6835.555145866003 146.52142755993242 -2095.35637042738
29 4614.833472457716 381.0522145817071 -5449.303829962706
30 928.9347783992785 494.6016158600806 -7073.135826425847
31 -3051.8941442614328 451.1184987908999 -6451.297174388374
32 -6063.7682397727185 264.40844580660684 -3781.21725217023
33 -5859.443844502048 -3548.6423331326146 2052.037140167345
34 -3837.0058404943807 -2652.930252852656 5419.976776104409
35 -596.3455931175007 -914.9315620014165 7067.112081354234
36 2833.6501664975744 1113.551435187771 6470.4892346019315
37 5363.982019865001 2788.4897196833053 3819.531774155769
38 6191.2874820111565 3578.10222070625 -44.10003706294938
39 5052.902914165707 3231.6925483171503 -3893.730398110159
40 2310.2573731785897 1859.243325885761 -6507.128869541712
41 -1165.8785602941614 -103.50251572876644 -7054.5599020693135
42 -4271.856288577782 -2033.3870399132427 -5362.218010828289
43 -6021.54982873215 -3317.6855461515383 -1967.4097887712649
44 -3569.8072131458657 -6195.586342975509 89.37185075364157
45 -2745.3568094414745 -5304.94532398879 3931.586460748742
46 -1049.2750165036953 -2730.021647588138 6525.550148718597
47 979.9441803510166 711.6646125105427 7047.697771804375
48 2698.0380238989915 3927.4023865189924 5332.251148995154
49 3559.523858284755 5896.217652506887 1923.8524622662223
50 3290.886018058862 5993.025474506992 -2095.3557879403065
51 1977.4151193887576 4187.09005304566 -5449.303380552309
52 36.128892060305425 1051.7831243069254 -7073.135652776753
53 -1916.6280032227423 -2417.457514854826 -6451.297331632943
54 -3260.8690497289103 -5119.172473988738 -3781.217690384423
55 143.49275788067072 -6848.748736042788 2052.0359594773513
56 379.0027881667974 -4649.410578160626 5419.975937423511
57 494.1821111157016 -973.9174128777954 7067.111850957691
58 452.46210550931306 3010.7876496221274 6470.489685639018
59 267.088578348187 6039.588906576002 3819.5327634253968
60 -3.083685280772852 7150.863359388016 -44.098823646897124
61 -272.27690062136674 5991.789221180433 -3893.7293457987053
62 -455.02412383132514 2930.3643412076462 -6507.128312436309
63 -493.3044027716638 -1061.4305121335326 -7054.560017046989
64 -374.96401935435085 -4716.22867758194 -5362.218761384444
65 -137.57520916119051 -6873.657561177537 -1967.4109366096238
