node x y z
0 -3587.934786232863 6181.160511880048 238.28490534422838
1 -3187.217109115566 4953.315719747364 4055.0106633478345
2 -1774.5805196540448 2152.8281850513426 6584.299187074726
3 201.47284621084867 -1331.1670872414018 7023.119241340341
4 2113.5600069429042 -4392.526214912185 5232.148559469687
5 3354.6067991719788 -6059.289305455503 1780.0076785625608
6 3530.5896351829515 -5802.270854409088 -2237.273063354925
7 2585.635207977642 -3703.07240397458 -5544.235415473296
8 819.7598714647994 -428.1746299374506 -7090.942196874399
9 -1206.3834320916474 2982.665563767454 -6386.3249329712735
10 -2849.508519857002 5446.530515483998 -3654.094626465487
11 -5969.419378933816 3269.2735412549255 2194.238772526792
12 -4120.230620612841 1933.4597902860487 5515.635400596319
13 -962.8977524057104 -16.213782924578602 7085.8567605939725
14 2500.1483486798265 -1960.7395946177683 6406.368665374454
15 5169.415014263606 -3282.7444389437724 3692.9037841365066
16 6197.428938159793 -3562.501118668957 -193.0319557535036
17 5257.802963130636 -2711.1888646468165 -4017.681413590407
18 2648.861697168009 -999.0933024444316 -6566.745410192699
19 -801.0744416830622 1030.2073240281165 -7030.914137464701
20 -3996.675105421298 2732.424404218854 -5262.81730415705
21 -5923.359662345134 3567.1160424583754 -1823.8131620696863
22 -7147.009389840335 -16.6624564799992 238.28584531633862
23 -5883.305265906554 -283.5538118527773 4055.011391345274
24 -2751.6932894960282 -460.4188354577949 6584.299471963453
25 1253.5618637937803 -491.104131968999 7023.118992670195
26 4860.819982573941 -365.8673365560273 5232.147856191685
27 6924.802101799679 -124.47024688158656 1780.0067439624977
28 6790.208482017596 156.44526671301966 -2237.2739325481316
29 4499.77164651543 387.6905135156746 -5544.235943296945
30 780.689107111776 495.84676156737254 -7090.94221574821
31 -3186.2567077142285 446.57516630723035 -6386.324436902947
32 -6141.588530855054 255.51911109388752 -3654.09377295321
33 -5815.983338660783 -3535.032429583446 2194.238940091421
34 -3734.5398782942343 -2601.495427381609 5515.635451944105
35 -467.4063935671261 -842.002008274438 7085.856679422353
36 2948.1253185817827 1184.8210991579685 6406.368477454847
37 5427.648072539078 2835.471879153567 3692.90354913206
38 6183.930913393919 3585.880372004843 -193.03216323053937
39 4976.859382814094 3197.797183364561 -4017.681527667539
40 2189.670162998823 1794.4359835612343 -6566.745394651243
41 -1292.7238620985183 -178.64596214399373 -7030.913997238959
42 -4364.687194929921 -2095.009077120557 -5262.817083767706
43 -6050.8931827771075 -3346.221612738127 -1823.812931488799
44 -3559.0745528856946 -6197.822961348225 238.2852634683731
45 -2696.0872936317014 -5236.869412276288 4055.010858663967
46 -977.1113682921589 -2613.2468267577306 6584.299157571355
47 1052.090512541126 840.0631619366586 7023.118996384578
48 2747.2610893589385 4026.6590323188225 5232.148176833256
49 3570.1956815245667 5934.819110952932 1780.0072797298249
50 3259.618370603399 5958.716055287506 -2237.2733517573897
51 1914.1352583784885 4090.762754344056 -5544.235501879744
52 -39.07227374814078 924.0211828447946 -7090.942053851395
53 -1979.8746350312308 -2536.090585385998 -6386.32460592761
54 -3292.0807888175927 -5191.011511916526 -3654.0942192352163
55 153.436507343768 -6804.305906270127 2194.237765628785
56 385.69191638995824 -4534.9550553630625 5515.634631796092
57 495.4928671511939 -825.7880168394775 7085.856473980164
58 447.97833357722766 3145.560882291333 6406.368951944924
59 258.23384435614236 6118.216426765779 3692.9045529071564
60 -13.498065854863178 7148.3814849936225 -193.03094886192437
61 -280.94443552972587 5908.985929785998 -4017.68048825886
62 -459.19293198242434 2793.529092770808 -6566.744860207413
63 -491.6509170329199 -1208.8534930657454 -7030.914137442117
64 -368.013209764843 -4827.433636204557 -5262.817854104339
65 -127.53390865351385 -6913.3377088645675 -1823.81408738247
