node x y z
0 -3592.6512079876725 6172.6788023924555 357.3439522918524
1 -3158.75925256571 4890.393891156794 4152.479810145599
2 -1721.9835531804974 2055.4434733509024 6629.232668298423
3 261.50975738514325 -1432.0957241743124 7001.250994186254
4 2161.9755677206504 -4464.954647979041 5150.421597895587
5 3376.0294110942486 -6080.222018912427 1664.3697354131089
6 3518.2177703293673 -5765.061859636994 -2350.1077581884406
7 2543.3968460237943 -3619.535293907415 -5618.44264363309
8 761.0653938890334 -324.83184677652423 -7102.961687742957
9 -1262.8989433743877 3073.003416553761 -6332.340583123491
10 -2885.9017893339683 5495.1818079327995 -3551.2460855428485
11 -5940.731310740149 3243.580258509288 2307.3143696081966
12 -4042.3136978881535 1882.4349584107101 5590.432862956059
13 -860.4900475804229 -76.3701403334325 7098.62842242644
14 2594.53311290195 -2010.9282591273368 6353.059614288095
15 5225.810342132919 -3307.0308641884253 3590.4392671874834
16 6197.929711548132 -3553.1745362331976 -312.1201784135571
17 5202.250190025499 -2671.2103985555154 -4115.583672704096
18 2554.892990513141 -941.1558332072348 -6612.378430235735
19 -903.6246814758961 1087.7090592949955 -7009.789757000932
20 -4075.2479018032427 2771.234010856028 -5181.6423647259835
21 -5953.008707633771 3574.9117445741185 -1708.3601333859708
22 -7142.022209128204 -24.98787247453352 357.34489019531145
23 -5814.58442276111 -290.3695159723232 4152.48052792278
24 -2641.057166057672 -463.56088980186036 6629.232938060143
25 1370.9870800508622 -489.5749564840386 7001.250730285072
26 4947.752615175057 -360.15243365387823 5150.420884118264
27 6953.6416541306035 -116.38405785410681 1664.3687983789023
28 6751.798599983799 164.33543398388673 -2350.1086209777914
29 4406.3071962713875 392.87958667068665 -5618.443158248062
30 661.844391221721 496.687246544052 -7102.961690796933
31 -3292.7493316718396 442.8002150640647 -6332.340073646856
32 -6201.918407214604 248.3272439780508 -3551.2452252908324
33 -5779.388254082753 -3523.0344942961265 2307.3145343819
34 -3651.3926064359416 -2559.529821542815 5590.4329104549615
35 -364.1056057530319 -783.3925152231857 7098.628337569977
36 3038.7823521091923 1241.466379492796 6353.059424017594
37 5476.878384186843 2872.1684705020866 3590.4390319124827
38 6176.10422705863 3590.977365899625 -312.12038399490666
39 4914.460616106484 3169.6763202576503 -4115.583783321169
40 2092.5104834599415 1742.0254387965497 -6612.378410768391
41 -1393.796942712568 -238.70621091887773 -7009.789613629916
42 -4437.583687672441 -2143.6503252850544 -5181.642142970581
43 -6072.468966264351 -3368.0006076826453 -1708.3599036519536
44 -3549.3709250755282 -6197.666664351634 357.344307094712
45 -2655.8242862882603 -5180.763284936306 4152.479999448215
46 -919.0722017621696 -2519.004168077851 6629.232631998552
47 1109.4788129695455 942.5209737123812 7001.250743808848
48 2785.77814378612 4104.8023658839 5150.421212933704
49 3577.612597318382 5963.838010034863 1664.369338089427
50 3233.5803294047337 5929.397224465519 -2350.1080417264598
51 1862.9091542919118 4012.414715247175 -5618.442723364129
52 -99.22251462149653 821.5188843054865 -7102.961538352974
53 -2029.8517362153684 -2630.2033878281354 -6332.340252042751
54 -3316.0173738078706 -5246.854668455399 -3551.2456778871456
55 161.34354779786162 -6766.614684909329 2307.3133652699657
56 390.92228144558044 -4441.96461544684 5590.432105391102
57 496.38595285917813 -707.0221660021771 7098.628152156279
58 444.25059153553093 3252.39482556827 6353.059917121596
59 251.06880632403684 6179.199440344499 3590.4400469771494
60 -21.82555092792357 7144.151892948263 -312.1191692454355
61 -287.7904499722424 5840.886597706093 -4115.582754561267
62 -462.38391458052456 2683.1810774248393 -6612.377894622059
63 -490.17375335811255 -1326.4154764872505 -7009.789773969966
64 -362.3368888467398 -4914.884488618552 -5181.642928890181
65 -119.46062227664538 -6942.912402527806 -1708.3610656271837
