node x y z
0 -3578.561650692493 6190.959497939729 52.1345093278298
1 -3229.899149513883 5048.85756376141 3900.460201670912
2 -1855.76648974147 2303.7790266117036 6510.417339318322
3 107.55891830442108 -1172.7330737624604 7053.362972142921
4 2036.735129763658 -4276.910709352982 5356.915697993425
5 3319.262328405682 -6023.199413930958 1959.6855398886437
6 3547.9471905658074 -5857.164862479256 -2059.730930654426
7 2650.1838883182168 -3831.5218519397094 -5425.197384078024
8 911.0059268341445 -589.3977256490431 -7068.202000669817
9 -1117.4099795594807 2839.85601404987 -6467.102423577787
10 -2791.056112684602 5367.475534751695 -3812.7435213620024
11 -6010.90696257164 3307.5903879312955 2016.344294254397
12 -4239.666089937175 2012.1007147673533 5395.691166057368
13 -1122.3611897967778 77.78328148906677 7061.944216769116
14 2351.2854578788815 -1881.2297940715946 6486.079875970125
15 5078.41558606716 -3242.965702149075 3850.9310030010797
16 6193.18464804898 -3575.082913494929 -6.861254042557575
17 5341.66134322692 -2772.136560134926 -3862.475111406993
18 2794.1983043058203 -1089.0564359130422 -6491.780411844725
19 -640.4029533705846 939.7914118061631 -7059.991300250279
20 -3871.6807982228775 2670.26212652572 -5386.704834341175
21 -5873.7273456286985 3552.943483243965 -2003.1776441663578
22 -7150.8090174852305 -3.645558382185559 52.13545200692024
23 -5987.387970535091 -272.7465948996497 3900.4609452297204
24 -2923.0135478018906 -455.2525146718253 6510.417647682181
25 1069.3970233316006 -493.21897769625446 7053.362747408484
26 4722.281595555605 -374.59190022089007 5356.9150115122875
27 6875.875127238039 -137.03454116528377 1959.6846096137167
28 6846.426888634493 144.03031647050062 -2059.7318093674266
29 4643.286487430279 379.36656629648684 -5425.197932243929
30 965.9354343615199 494.2566117994075 -7068.202044249824
31 -3018.0932941433807 452.22367530635574 -6467.101948735552
32 -6043.898726585943 266.61291716333835 -3812.742678856581
33 -5869.9105165619685 -3551.8032774408953 2016.344466085921
34 -3862.3626671585102 -2665.609095342701 5395.691223389869
35 -628.5419610827527 -933.1028597670577 7061.94414139993
36 2804.8363765715017 1095.65694079487 6486.079691828435
37 5347.698982691123 2776.5534041964356 3850.9307685505732
38 6192.70494684174 3575.913779954518 -6.861464365502855
39 5071.570845932366 3239.946796776446 -3862.4752308263282
40 2340.248835446715 1875.3195979919915 -6491.7804024456545
41 -1134.0856448851541 -84.70832277981822 -7059.991165016941
42 -4248.355946032248 -2017.8419495894461 -5386.704616209199
43 -6013.803251762808 -3310.32501479434 -2003.1774123911055
44 -3572.2473556953914 -6194.605054787823 52.13487244107712
45 -2757.487990760393 -5321.604043886227 3900.4604062733374
46 -1067.2456722380805 -2759.031349708155 6510.417320450103
47 961.8396064222452 679.5143036182932 7053.3627357945825
48 2685.547606077412 3902.318966764571 5356.915319203895
49 3556.613215975644 5886.164930431349 1959.6851389209207
50 3298.479259629747 6001.195118340181 -2059.7312264959223
51 1993.1014442921628 4210.888258594483 -5425.197480865709
52 54.92800297367572 1083.6541294597155 -7068.201867674284
53 -1900.6846911862317 -2387.6325290443174 -6467.102103024178
54 -3252.843425490792 -5100.862729782067 -3812.7431150238244
55 140.99687521310366 -6859.393606039326 2016.3432839194193
56 377.30457131771794 -4677.709651336602 5395.69038013257
57 493.8207319356655 -1010.8859334515323 7061.943904780069
58 453.55229933459856 2976.8869257257074 6486.080136971145
59 269.2842163422074 6019.519219662942 3850.931754126189
60 -0.4797026674822369 7150.996693247584 -6.860251270274935
61 -270.0913194696638 6012.083243254304 -3862.4741753606518
62 -453.9508507142971 2964.3758428780775 -6491.779839712424
63 -493.6841943205815 -1024.4999423331171 -7059.991273679981
64 -376.6762944359118 -4688.104234624235 -5386.705361768763
65 -140.0763325353568 -6863.268556983794 -2003.1785581372985
