node x y z
0 -3591.284959810279 6175.514483779957 320.1471506423776
1 -3167.747394826095 4910.204385190727 4122.1439007179515
2 -1738.4724142181674 2085.9390881497593 6615.3890879925875
3 242.75527444492405 -1400.5971308374535 7008.294981935267
4 2146.909878698558 -4442.453656930205 5176.116737359579
5 3369.435765805724 -6073.862535825218 1700.5580013654405
6 3522.1896045650465 -5776.862975457638 -2314.915884493565
7 2556.6731304774894 -3645.7502377455567 -5595.420333439897
8 779.4310020524389 -357.13755918949676 -7099.4183618699135
9 -1245.2749623279667 3044.8637709958207 -6349.401222499347
10 -2874.61492486167 5480.142367869302 -3583.4940577104826
11 -5949.8747912280005 3251.7069778445925 2272.0459280010873
12 -4066.7849329341325 1898.4373165561603 5567.225257196529
13 -892.5195929629149 -57.572779021757526 7094.849903366034
14 2565.1144115319335 -1995.3039240500855 6369.909835030751
15 5208.342714597746 -3299.5401713363485 3622.5684017053795
16 6197.959006169863 -3556.195727660124 -274.91290331623696
17 5219.76710596872 -2683.7842673301143 -4085.1113039767083
18 2584.336030734492 -959.2902648362813 -6598.315729641755
19 -871.6034742121118 1069.7716187219514 -7016.601532616655
20 -4050.815034552237 2759.18857198103 -5207.165925923124
21 -5943.92144311335 3572.582649130973 -1744.4919298253023
22 -7143.7948620649695 -22.386819841554082 320.1480892204326
23 -5836.234888988248 -288.24822333979887 4122.144621710617
24 -2675.71157552295 -462.5928525922802 6615.389362489786
25 1334.3312574963136 -490.0675196716202 7008.294722786079
26 4920.733344194641 -361.9492119068496 5176.116026842039
27 6944.8373623515545 -118.91458677257799 1700.5570650638476
28 6764.004587837816 161.8745794516674 -2314.9167493100704
29 4435.648148858206 391.2697104511315 -5595.420852198185
30 699.0047634082907 496.4394729620281 -7099.418369867893
31 -3259.567695492111 443.99321048118003 -6349.4007171977155
32 -6183.250442078543 250.58224077867413 -3583.493199538939
33 -5790.997944373074 -3526.8896150273563 2272.0460936519326
34 -3677.486675695148 -2572.7213497452035 5567.225305899686
35 -396.39937136320754 -801.7322338993589 7094.849819658595
36 3010.541932552434 1223.8012014402627 6369.909645489236
37 5461.657444355502 2860.7864022886893 3622.56816650788
38 6178.7353078031365 3589.4921337612664 -274.9131094961763
39 4934.108367880785 3178.5594749041097 -4085.111415678414
40 2122.936883900077 1758.456641392948 -6598.3157114007245
41 -1362.252060763669 -219.94375109956675 -7016.601390224287
42 -4414.935601348068 -2128.513556666256 -5207.165704587987
43 -6065.9082829487625 -3361.2953473495318 -1744.4916998197418
44 -3552.509834107501 -6197.901294200746 320.14750649381875
45 -2668.4866167124937 -5198.452487230644 4122.144091905549
46 -937.2377531367225 -2548.531746074894 6615.389053815631
47 1091.5774748544422 910.5298173947973 7008.294733244698
48 2773.8245672972 4080.5045973378997 5176.116353112896
49 3575.4019585309416 5954.9479990939735 1700.5576035582505
50 3241.814490514159 5938.737486789657 -2314.91616956029
51 1878.9738273257615 4037.0197835435656 -5595.420415259486
52 -80.42774984391347 853.5768232411315 -7099.418214465225
53 -2014.2940847134728 -2600.8707473547306 -6349.400892670328
54 -3308.6362800084016 -5229.560232540008 -3583.493650175517
55 158.87733048800698 -6778.596526013827 2272.0449228327884
56 389.29944229218495 -4471.158502477932 5567.224496097699
57 496.1217318270114 -744.1592461016426 7094.849627980174
58 445.4288769354093 3219.1053129339434 6369.910132790925
59 253.31550086686573 6160.326680224252 3622.569178074836
60 -19.22375688510732 7145.687853331725 -274.91189482931406
61 -285.65960765463467 5862.343622024092 -4085.1103835597914
62 -461.4005513681534 2717.7467120644988 -6598.315189520712
63 -490.6500801227934 -1289.715576294919 -7016.601544276101
64 -364.1216752062506 -4887.7022818755095 -5207.166485661266
65 -121.9872111725392 -6933.878047814675 -1744.4928599292368
