node x y z
0 -3593.919554175064 6169.67491165109 394.53101609536947
1 -3149.685032142192 4870.450130833957 4182.702561904078
2 -1705.4477670151587 2024.8918464332207 6642.895597872306
3 280.2571140210896 -1463.555292007957 6994.016217973479
4 2176.982341557784 -4487.333966224149 5124.586106225226
5 3382.5310574720747 -6086.415812150886 1628.1361143456402
6 3514.150062461366 -5753.103642278844 -2385.2355899786285
7 2530.051252417006 -3593.2217154711407 -5641.311847754011
8 742.6790462181536 -292.51728249278324 -7106.311453472294
9 -1280.488509635579 3101.059320848682 -6315.107383510494
10 -2897.1100111794785 5510.0715008588095 -3518.9013397006725
11 -5931.425941612484 3235.365149585453 2342.5199354571932
12 -4017.7323072683885 1866.3813027365584 5613.488125927337
13 -828.4370533065253 -95.1654205110682 7102.213499427327
14 2623.8811116236534 -2026.4977951531607 6336.036268701749
15 5243.135563071336 -3314.431438383323 3558.212290956358
16 6197.7315194694775 -3550.0565185802484 -349.3189480410122
17 5184.591509514386 -2658.56373762867 -4145.94388920511
18 2525.380327861576 -922.9957544937304 -6626.260939386277
19 -935.6212644025518 1105.6168591166054 -7002.7869602348255
20 -4099.569716002827 2783.2039318728494 -5155.97760053707
21 -5961.933748947645 3577.143421438732 -1672.181783065672
22 -7140.054931624112 -27.588244172370644 394.53195329867435
23 -5792.775505475669 -292.4828958541179 4182.703276446212
24 -2606.3307861345643 -464.5162946875717 6642.89586289119
25 1407.6055423509265 -489.0690520730214 6994.015949327491
26 4974.637056805499 -358.34584102208066 5124.585389207569
27 6962.256454830143 -113.85035739735116 1628.1351766043524
28 6739.408621399609 166.79181027285253 -2385.236450717313
29 4376.846169060539 394.4787566760415 -5641.312358211641
30 624.6659833619898 496.9214850882911 -7106.311451582179
31 -3325.8412383750665 441.59515306444246 -6315.106869872733
32 -6220.417366199291 246.0654801048862 -3518.900477391624
33 -5767.621071851716 -3519.0833686738356 2342.5200993492635
34 -3625.199034446928 -2546.2685445536677 5613.48817222069
35 -331.80191803761676 -765.0314486115308 7102.213413424149
36 3066.939962948315 1259.0977268108552 6336.036077707441
37 5491.950075660421 2883.472270330214 3558.2120556102645
38 6173.304843615287 3592.3647416612225 -349.3191530181701
39 4894.678942209984 3160.70678995114 -4145.943998734534
40 2062.0270608017927 1725.5467649185755 -6626.260918693147
41 -1425.3038428239745 -257.46216584480453 -7002.786815889065
42 -4460.110847068851 -2158.7286780931963 -5155.977378367439
43 -6078.8641710067095 -3374.614087894968 -1672.1815536094575
44 -3546.135293468304 -6197.263144213797 394.5313698399791
45 -2643.089582992943 -5162.932903605663 4182.702749316548
46 -900.881605095909 -2489.407945643426 6642.8955594505005
47 1127.3499170938262 974.4864457445727 6994.015965916052
48 2797.655806080149 4128.988276000871 5124.585720558627
49 3579.7257439273562 5972.565502663949 1628.1357175162907
50 3225.2580512110853 5919.895382362502 -2385.2358719802137
51 1846.7937158197155 3987.700306142955 -5641.311925394321
52 -118.01457552356523 789.4385584669826 -7106.3113021010795
53 -2045.3540729892602 -2659.464353615949 -6315.107051187046
54 -3323.308104062153 -5264.006124302996 -3518.9009319353368
55 163.80536839523762 -6754.448449327086 2342.5189319763977
56 392.534467722571 -4412.649682104766 5613.487371916895
57 496.6366470640026 -669.8658191069605 7102.213234280226
58 443.0602000294782 3285.5957084116 6336.03657660032
59 248.81526999937418 6197.9038134194125 3558.213074144981
60 -24.42675021084255 7142.421249962261 -349.3179382191926
61 -289.9134498202868 5819.270405579093 -4145.942973361386
62 -463.3546775423405 2648.542324424446 -6626.260408294558
63 -489.6840690524067 -1363.0792310291445 -7002.786982512983
64 -360.54222858062974 -4941.932761688606 -5155.978169111945
65 -116.93077800415769 -6951.757558540243 -1672.182717418758
