node x y z
0 -3594.399472261021 6168.426274917647 409.4028880153198
1 -3146.0312973987775 4862.435433761733 4194.759793872074
2 -1698.820414407352 2012.6556987135057 6648.310103930839
3 287.75394686694625 -1476.1279999306435 6991.068930706037
4 2182.96846318322 -4496.251488418863 5114.212768514684
5 3385.105916556931 -6088.846898329008 1613.6301876205941
6 3512.496159439283 -5748.276439756052 -2399.2685764769567
7 2524.693689811575 -3582.6688269410397 -5650.416519964747
8 735.3188123018717 -279.58917550053275 -7107.597142299069
9 -1287.5145925992208 3112.2580636786815 -6308.16589183505
10 -2901.571211493454 5515.9853578045695 -3505.936542083726
11 -5927.658521795488 3232.054406996485 2356.584341626652
12 -4007.869057407634 1859.9455751059056 5622.667434262708
13 -815.6094855424086 -102.68283513335167 7103.593344390022
14 2635.600335161287 -2032.7101707400134 6329.178559265634
15 5250.025671713365 -3317.3663895804684 3545.294301413138
16 6197.6049524052405 -3548.7822191199652 -364.19584728551774
17 5177.488450892498 -2653.48476858583 -4158.056387755918
18 2513.55594860667 -915.7246526531546 -6631.76340453633
19 -948.4128074241135 1112.7715702956855 -6999.932398177541
20 -4109.267198262422 2787.9706821438485 -5145.672314556267
21 -5965.458288346988 3578.0088012708557 -1657.6976286465838
22 -7139.213537573994 -28.628186315996672 409.40382493141044
23 -5784.007705245141 -293.32601932901025 4194.760507114731
24 -2592.4202943465016 -464.89491374767783 6648.310367050559
25 1422.2422428406512 -488.8629578419521 6991.068660164167
26 4985.352917009382 -357.6204669620082 5114.212050206357
27 6965.6492648481 -112.83600464710028 1613.629249603628
28 6734.40118802339 167.7730918821512 -2399.2694363888027
29 4365.028317006261 395.11541716684013 -5650.417028755538
30 609.7897971559318 497.0113892531892 -7107.597138431323
31 -3339.0526747225895 441.1097569663174 -6308.16537653675
32 -6227.76951499549 245.1588935752477 -3505.9356789584413
33 -5762.870172900409 -3517.476061085833 2356.584505164817
34 -3614.693904685532 -2540.9445849827853 5622.667480073485
35 -318.8778619396744 -757.681156604222 7103.593257928812
36 3078.1796488887235 1266.1406854769511 6329.178367983261
37 5497.936870573043 2887.9718060417786 3545.294066040403
38 6172.137982416035 3592.892283622036 -364.1960520194334
39 4886.728895084974 3157.0948473160756 -4158.056496849443
40 2049.8179115408666 1718.9421039534998 -6631.763383353041
41 -1437.8957755961994 -264.96261194978433 -6999.932253442982
42 -4469.087713667538 -2164.743570695369 -5145.672092222639
43 -6081.3758797142855 -3377.233741092344 -1657.6973993032416
44 -3544.8139781665595 -6197.054449186344 409.4032413339278
45 -2637.9755149392513 -5155.761329653431 4194.75998052705
46 -893.5984647630406 -2477.5504168243274 6648.310064660548
47 1134.4897841103973 987.2652478117682 6991.068677978518
48 2802.38554245055 4138.631171950528 5114.21238256914
49 3580.543691772707 5976.010941165499 1613.6297909920067
50 3221.9045178698293 5916.04946103601 -2399.268857861813
51 1840.3334244327668 3977.784077835598 -5650.416596768168
52 -125.53052808708769 776.6003556016261 -7107.5969901365115
53 -2051.5394248956213 -2671.148492339961 -6308.165559017052
54 -3326.1990497846905 -5270.826567396969 -3505.9361342776483
55 164.78885052335758 -6749.530398736191 2356.583338496488
56 393.1763495772004 -4400.88999463298 5622.66668167983
57 496.73313569161706 -654.9981124365934 7103.593081294175
58 442.58066097256636 3298.8510424629017 6329.178869187891
59 247.91195352024428 6205.338299948075 3545.295085955372
60 -25.467047512595908 7141.674492025007 -364.1948372099222
61 -290.7604409017464 5810.579493544658 -4158.055472838826
62 -463.7394487196958 2634.666561456716 -6631.762875257453
63 -489.48445819551085 -1377.7343882293721 -6999.932422579184
64 -359.8216107261641 -4952.7144042586515 -5145.67288489108
65 -115.91794422927268 -6955.242591143564 -1657.6985638372932
