Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918202', '4029.4353101564466')","(0, 10, '0.013440107107489191', '4029.2427455374545')","(0, 55, '0.02170428708763796', '6506.781575140645')","(0, 11, '0.014191533527943976', '4254.5147191317365')"
1,"(1, 2, '0.013440749433918204', '4029.435310156447')","(1, 0, '0.013440107107489174', '4029.2427455374495')","(1, 56, '0.02170004425847268', '6505.5096069563115')","(1, 12, '0.011802619512932816', '3538.3363146208917')"
2,"(2, 3, '0.013440749433918204', '4029.435310156447')","(2, 1, '0.013440107107489174', '4029.2427455374495')","(2, 57, '0.013805727252658393', '6666')","(2, 13, '0.008047295702958689', '6666')"
3,"(3, 4, '0.013440749433918205', '4029.4353101564475')","(3, 2, '0.013440107107489177', '4029.2427455374504')","(3, 58, '0.013889060395539023', '6666')","(3, 14, '0.008057553865133807', '6666')"
4,"(4, 5, '0.013440749433918198', '4029.4353101564457')","(4, 3, '0.013440107107489168', '4029.2427455374477')","(4, 59, '0.021689893438397764', '6502.4664676553375')","(4, 15, '0.011815450845842018', '3542.183051453158')"
5,"(5, 6, '0.013440749433918212', '4029.4353101564493')","(5, 4, '0.01344010710748916', '4029.2427455374454')","(5, 60, '0.021685649965547116', '6501.194306498985')","(5, 16, '0.014194575987015278', '4255.426825415086')"
6,"(6, 7, '0.013440749433918198', '4029.435310156445')","(6, 5, '0.013440107107489186', '4029.242745537453')","(6, 61, '0.021681406303123176', '6499.92208850999')","(6, 17, '0.013349841291484832', '4002.1817346841326')"
7,"(7, 8, '0.013440749433918205', '4029.4353101564475')","(7, 6, '0.013440107107489175', '4029.24274553745')","(7, 62, '0.02167716245121405', '6498.649813714765')","(7, 18, '0.009849156856388687', '2952.7029432043178')"
8,"(8, 9, '0.013440749433918214', '4029.43531015645')","(8, 7, '0.013440107107489175', '4029.24274553745')","(8, 63, '0.0049018115259651576', '6666')","(8, 19, '0.007266311208682404', '6666')"
9,"(9, 10, '0.01344074943391818', '4029.4353101564393')","(9, 8, '0.013440107107489187', '4029.2427455374536')","(9, 64, '0.021712772176096375', '6666')","(9, 20, '0.009863270761920421', '6666')"
10,"(10, 0, '0.01344074943391822', '4029.4353101564516')","(10, 9, '0.013440107107489151', '4029.2427455374427')","(10, 65, '0.02170852972687325', '6508.0534863854')","(10, 21, '0.013358511637480258', '4004.7810390218115')"
