Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918207', '4029.435310156448')","(0, 10, '0.013440107107489196', '4029.242745537456')","(0, 55, '0.020912341189323263', '6269.362167681865')","(0, 11, '0.01415940969544634', '4244.88423642689')"
1,"(1, 2, '0.013440749433918205', '4029.4353101564475')","(1, 0, '0.013440107107489172', '4029.242745537449')","(1, 56, '0.02090806450698569', '6268.080050571798')","(1, 12, '0.011675377721790227', '3500.1901852939322')"
2,"(2, 3, '0.013440749433918209', '4029.4353101564484')","(2, 1, '0.01344010710748917', '4029.2427455374486')","(2, 57, '0.012988988511764572', '6666')","(2, 13, '0.007949067413532159', '6666')"
3,"(3, 4, '0.013440749433918205', '4029.4353101564475')","(3, 2, '0.01344010710748918', '4029.2427455374514')","(3, 58, '0.014708246756846545', '6666')","(3, 14, '0.008161256487855779', '6666')"
4,"(4, 5, '0.013440749433918195', '4029.4353101564443')","(4, 3, '0.013440107107489174', '4029.2427455374495')","(4, 59, '0.020897832764515675', '6265.01265134709')","(4, 15, '0.011940417159177182', '3579.6470096951048')"
5,"(5, 6, '0.013440749433918214', '4029.43531015645')","(5, 4, '0.013440107107489168', '4029.2427455374477')","(5, 60, '0.020893555492002967', '6263.730357306969')","(5, 16, '0.0142221839068065', '4263.703471549564')"
6,"(6, 7, '0.013440749433918202', '4029.4353101564466')","(6, 5, '0.013440107107489184', '4029.2427455374527')","(6, 61, '0.02088927804570451', '6262.448011167192')","(6, 17, '0.013262782934260404', '3976.082295782379')"
7,"(7, 8, '0.01344074943391821', '4029.435310156449')","(7, 6, '0.013440107107489172', '4029.242745537449')","(7, 62, '0.020885000425714437', '6261.165612955977')","(7, 18, '0.009710635337581652', '2911.1752365952634')"
8,"(8, 9, '0.013440749433918216', '4029.4353101564507')","(8, 7, '0.013440107107489172', '4029.242745537449')","(8, 63, '0.0049943395691729835', '6666')","(8, 19, '0.007270834140241745', '6666')"
9,"(9, 10, '0.013440749433918172', '4029.4353101564375')","(9, 8, '0.01344010710748919', '4029.242745537454')","(9, 64, '0.02092089403140239', '6666')","(9, 20, '0.010002410481807186', '6666')"
10,"(10, 0, '0.013440749433918221', '4029.435310156452')","(10, 9, '0.013440107107489153', '4029.242745537443')","(10, 65, '0.020916617697491563', '6270.644232577296')","(10, 21, '0.013441746743290505', '4029.7342959845555')"
