Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918207', '4029.435310156448')","(0, 10, '0.013440107107489193', '4029.242745537455')","(0, 55, '0.020198641615170917', '6055.400418073179')","(0, 11, '0.014127212715048628', '4235.231824533282')"
1,"(1, 2, '0.013440749433918205', '4029.4353101564475')","(1, 0, '0.013440107107489174', '4029.2427455374495')","(1, 56, '0.020194337214678972', '6054.109991269483')","(1, 12, '0.011559894852632459', '3465.5692920922324')"
2,"(2, 3, '0.013440749433918212', '4029.4353101564493')","(2, 1, '0.013440107107489168', '4029.242745537448')","(2, 57, '0.012261670533236207', '6666')","(2, 13, '0.007865687783206943', '6666')"
3,"(3, 4, '0.0134407494339182', '4029.435310156446')","(3, 2, '0.013440107107489179', '4029.242745537451')","(3, 58, '0.015441736009170563', '6666')","(3, 14, '0.008257957101804193', '6666')"
4,"(4, 5, '0.013440749433918193', '4029.435310156444')","(4, 3, '0.013440107107489175', '4029.24274553745')","(4, 59, '0.020184039224011182', '6051.022731334724')","(4, 15, '0.012050366206146936', '3612.6089047409246')"
5,"(5, 6, '0.013440749433918214', '4029.43531015645')","(5, 4, '0.013440107107489168', '4029.242745537448')","(5, 60, '0.0201797342847618', '6049.732143015612')","(5, 16, '0.014243394701036603', '4270.062307687938')"
6,"(6, 7, '0.0134407494339182', '4029.435310156446')","(6, 5, '0.013440107107489182', '4029.2427455374523')","(6, 61, '0.020175429186898054', '6048.4415071451085')","(6, 17, '0.01318200683437804', '3951.8662302509915')"
7,"(7, 8, '0.013440749433918209', '4029.4353101564484')","(7, 6, '0.013440107107489168', '4029.242745537448')","(7, 62, '0.020171123930520618', '6047.150823753397')","(7, 18, '0.00958738257124076', '2874.2249868186273')"
8,"(8, 9, '0.013440749433918221', '4029.435310156452')","(8, 7, '0.013440107107489179', '4029.242745537451')","(8, 63, '0.005212588146511371', '6666')","(8, 19, '0.007281824973313926', '6666')"
9,"(9, 10, '0.013440749433918178', '4029.435310156439')","(9, 8, '0.01344010710748919', '4029.242745537454')","(9, 64, '0.020207249938981514', '6666')","(9, 20, '0.01012717426109171', '6666')"
10,"(10, 0, '0.013440749433918223', '4029.4353101564525')","(10, 9, '0.013440107107489148', '4029.242745537442')","(10, 65, '0.020202945856636633', '6056.690797202012')","(10, 21, '0.013513221915668781', '4051.1620135978123')"
11,"(11, 12, '0.013440749433918198', '4029.4353101564457')","(11, 21, '0.013440107107489182', '4029.2427455374523')","(11, 0, '0.014126867441960154', '4235.1283142654065')","(11, 22, '0.013330036500728138', '3996.2444077830073')"
12,"(12, 13, '0.013440749433918202', '4029.4353101564466')","(12, 11, '0.01344010710748918', '4029.2427455374514')","(12, 1, '0.011559549579701782', '3465.4657818716637')","(12, 23, '0.010570930801484881', '3169.0853283250626')"
13,"(13, 14, '0.013440749433918209', '4029.4353101564484')","(13, 12, '0.013440107107489182', '4029.2427455374523')","(13, 2, '0.007865342525402011', '6666')","(13, 24, '0.006323356466312354', '6666')"
14,"(14, 15, '0.013440749433918207', '4029.435310156448')","(14, 13, '0.013440107107489182', '4029.242745537452')","(14, 3, '0.008257611844076774', '6666')","(14, 25, '0.0068050905523427095', '6666')"
15,"(15, 16, '0.013440749433918198', '4029.435310156445')","(15, 14, '0.013440107107489177', '4029.2427455374504')","(15, 4, '0.012050020935424288', '3612.5053951823065')","(15, 26, '0.011105146210488807', '3329.239078891825')"
16,"(16, 17, '0.013440749433918217', '4029.435310156451')","(16, 15, '0.013440107107489167', '4029.2427455374473')","(16, 5, '0.014243049428501822', '4269.958797586057')","(16, 27, '0.013453100701863464', '4033.138127133173')"
17,"(17, 18, '0.013440749433918198', '4029.435310156445')","(17, 16, '0.013440107107489191', '4029.2427455374545')","(17, 6, '0.013181661560835667', '3951.7627198470414')","(17, 28, '0.012323865627628374', '3694.6019685684228')"
18,"(18, 19, '0.013440749433918202', '4029.4353101564466')","(18, 17, '0.013440107107489168', '4029.242745537448')","(18, 7, '0.009587037302277387', '6666')","(18, 29, '0.008368547422274431', '6666')"
19,"(19, 20, '0.013440749433918217', '4029.435310156451')","(19, 18, '0.01344010710748917', '4029.2427455374486')","(19, 8, '0.007281479725081747', '6666')","(19, 30, '0.005580420987486327', '6666')"
20,"(20, 21, '0.013440749433918198', '4029.4353101564457')","(20, 19, '0.013440107107489182', '4029.2427455374523')","(20, 9, '0.01012682899401823', '3035.9469558623923')","(20, 31, '0.008981860669835069', '2692.6940876233816')"
21,"(21, 11, '0.013440749433918214', '4029.4353101564498')","(21, 20, '0.013440107107489165', '4029.242745537447')","(21, 10, '0.013512876643693703', '4051.0585036637253')","(21, 32, '0.012677508311217136', '3800.621377935214')"
22,"(22, 23, '0.0134407494339182', '4029.435310156446')","(22, 32, '0.013440107107489187', '4029.2427455374536')","(22, 11, '0.01333030210704306', '3996.3240345530185')","(22, 33, '0.014127212715048625', '4235.231824533281')"
23,"(23, 24, '0.013440749433918207', '4029.435310156448')","(23, 22, '0.013440107107489174', '4029.2427455374495')","(23, 12, '0.0105711964082571', '3169.164955232168')","(23, 34, '0.011559894852632454', '3465.569292092231')"
24,"(24, 25, '0.01344074943391821', '4029.435310156449')","(24, 23, '0.01344010710748918', '4029.2427455374514')","(24, 13, '0.006323622057217975', '6666')","(24, 35, '0.007865687783206938', '6666')"
25,"(25, 26, '0.013440749433918202', '4029.4353101564466')","(25, 24, '0.013440107107489182', '4029.242745537452')","(25, 14, '0.006805356144066212', '6666')","(25, 36, '0.008257957101804193', '6666')"
26,"(26, 27, '0.0134407494339182', '4029.435310156446')","(26, 25, '0.013440107107489168', '4029.2427455374477')","(26, 15, '0.011105411815333881', '3329.3187052211865')","(26, 37, '0.012050366206146938', '3612.6089047409255')"
27,"(27, 28, '0.013440749433918216', '4029.4353101564507')","(27, 26, '0.013440107107489165', '4029.242745537447')","(27, 16, '0.013453366307720687', '4033.217753765969')","(27, 38, '0.0142433947010366', '4270.062307687937')"
28,"(28, 29, '0.013440749433918198', '4029.4353101564457')","(28, 27, '0.013440107107489186', '4029.242745537453')","(28, 17, '0.012324131234522357', '3694.6815955120314')","(28, 39, '0.013182006834378033', '3951.8662302509897')"
29,"(29, 30, '0.013440749433918207', '4029.435310156448')","(29, 28, '0.013440107107489172', '4029.242745537449')","(29, 18, '0.008368813026036108', '2508.9070276177827')","(29, 40, '0.009587382571240755', '2874.224986818626')"
30,"(30, 31, '0.013440749433918221', '4029.435310156452')","(30, 29, '0.013440107107489182', '4029.2427455374523')","(30, 19, '0.005580686562737208', '6666')","(30, 41, '0.007281824973313923', '6666')"
31,"(31, 32, '0.013440749433918186', '4029.4353101564416')","(31, 30, '0.01344010710748919', '4029.242745537454')","(31, 20, '0.00898212627189746', '6666')","(31, 42, '0.01012717426109171', '6666')"
32,"(32, 22, '0.013440749433918224', '4029.435310156453')","(32, 31, '0.013440107107489142', '4029.2427455374404')","(32, 21, '0.012677773916792623', '3800.701004483548')","(32, 43, '0.013513221915668776', '4051.162013597811')"
33,"(33, 34, '0.013440749433918202', '4029.4353101564466')","(33, 43, '0.013440107107489184', '4029.2427455374527')","(33, 22, '0.014126867441960154', '4235.1283142654065')","(33, 44, '0.013330036500728124', '3996.244407783003')"
34,"(34, 35, '0.013440749433918204', '4029.435310156447')","(34, 33, '0.013440107107489177', '4029.2427455374504')","(34, 23, '0.01155954957970178', '3465.4657818716632')","(34, 45, '0.01057093080148487', '3169.0853283250594')"
35,"(35, 36, '0.01344074943391821', '4029.435310156449')","(35, 34, '0.01344010710748918', '4029.2427455374514')","(35, 24, '0.00786534252540201', '6666')","(35, 46, '0.0063233564663123494', '6666')"
36,"(36, 37, '0.013440749433918205', '4029.4353101564475')","(36, 35, '0.013440107107489177', '4029.2427455374504')","(36, 25, '0.008257611844076772', '6666')","(36, 47, '0.0068050905523427034', '6666')"
37,"(37, 38, '0.013440749433918195', '4029.4353101564443')","(37, 36, '0.013440107107489172', '4029.242745537449')","(37, 26, '0.012050020935424286', '3612.505395182306')","(37, 48, '0.011105146210488805', '3329.239078891824')"
38,"(38, 39, '0.013440749433918214', '4029.43531015645')","(38, 37, '0.013440107107489167', '4029.2427455374473')","(38, 27, '0.014243049428501818', '4269.958797586056')","(38, 49, '0.013453100701863455', '4033.1381271331707')"
39,"(39, 40, '0.013440749433918193', '4029.435310156444')","(39, 38, '0.01344010710748919', '4029.242745537454')","(39, 28, '0.013181661560835674', '3951.762719847043')","(39, 50, '0.012323865627628359', '3694.6019685684187')"
40,"(40, 41, '0.0134407494339182', '4029.435310156446')","(40, 39, '0.013440107107489172', '4029.242745537449')","(40, 29, '0.009587037302277392', '6666')","(40, 51, '0.008368547422274431', '6666')"
41,"(41, 42, '0.013440749433918228', '4029.435310156454')","(41, 40, '0.01344010710748917', '4029.2427455374486')","(41, 30, '0.007281479725081745', '6666')","(41, 52, '0.005580420987486327', '6666')"
42,"(42, 43, '0.0134407494339182', '4029.435310156446')","(42, 41, '0.013440107107489187', '4029.2427455374536')","(42, 31, '0.010126828994018226', '3035.9469558623914')","(42, 53, '0.008981860669835065', '2692.6940876233807')"
43,"(43, 33, '0.01344074943391821', '4029.435310156449')","(43, 42, '0.013440107107489161', '4029.242745537446')","(43, 32, '0.013512876643693704', '4051.058503663726')","(43, 54, '0.012677508311217127', '3800.6213779352115')"
44,"(44, 45, '0.0134407494339182', '4029.435310156446')","(44, 54, '0.01344010710748919', '4029.242745537454')","(44, 33, '0.013330302107043057', '3996.324034553017')","(44, 55, '0.014127212715048625', '4235.231824533281')"
