Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918202', '4029.4353101564466')","(0, 10, '0.01344010710748919', '4029.242745537454')","(0, 55, '0.01952289964708071', '5852.818072485658')","(0, 11, '0.014093946249649533', '4225.258789102315')"
1,"(1, 2, '0.013440749433918204', '4029.435310156447')","(1, 0, '0.013440107107489175', '4029.24274553745')","(1, 56, '0.019518571543111488', '5851.520539558246')","(1, 12, '0.011449888542450552', '3432.590229967288')"
2,"(2, 3, '0.013440749433918209', '4029.4353101564484')","(2, 1, '0.013440107107489175', '4029.24274553745')","(2, 57, '0.0115816155843783', '6666')","(2, 13, '0.0077913300263568', '6666')"
3,"(3, 4, '0.0134407494339182', '4029.435310156446')","(3, 2, '0.013440107107489179', '4029.242745537451')","(3, 58, '0.016131672073906606', '6666')","(3, 14, '0.0083521155862549', '6666')"
4,"(4, 5, '0.013440749433918193', '4029.435310156444')","(4, 3, '0.013440107107489175', '4029.24274553745')","(4, 59, '0.019508216909201407', '5848.4162984066525')","(4, 15, '0.012152157548407434', '3643.1251814403186')"
5,"(5, 6, '0.013440749433918214', '4029.4353101564498')","(5, 4, '0.013440107107489167', '4029.2427455374473')","(5, 60, '0.0195038883184877', '5847.118619556914')","(5, 16, '0.014260334719582905', '4275.1407974865')"
6,"(6, 7, '0.013440749433918198', '4029.4353101564457')","(6, 5, '0.013440107107489186', '4029.242745537453')","(6, 61, '0.019499559584508157', '5845.820897757159')","(6, 17, '0.013103544752794393', '3928.3438899532334')"
7,"(7, 8, '0.013440749433918204', '4029.435310156447')","(7, 6, '0.01344010710748917', '4029.2427455374486')","(7, 62, '0.019495230707370692', '5844.523133039739')","(7, 18, '0.009472144215775209', '2839.677396977732')"
8,"(8, 9, '0.013440749433918221', '4029.435310156452')","(8, 7, '0.013440107107489179', '4029.242745537451')","(8, 63, '0.005520888374946219', '6666')","(8, 19, '0.007298120799685724', '6666')"
9,"(9, 10, '0.013440749433918184', '4029.435310156441')","(9, 8, '0.013440107107489186', '4029.242745537453')","(9, 64, '0.01953155542378962', '6666')","(9, 20, '0.010244679792390422', '6666')"
10,"(10, 0, '0.013440749433918221', '4029.435310156452')","(10, 9, '0.013440107107489144', '4029.242745537441')","(10, 65, '0.01952722760734072', '5854.115562330133')","(10, 21, '0.013577864202400976', '4070.541283627998')"
11,"(11, 12, '0.013440749433918207', '4029.435310156448')","(11, 21, '0.013440107107489182', '4029.242745537452')","(11, 0, '0.014093600974349368', '4225.155278171392')","(11, 22, '0.013294776331939899', '3985.6736751124863')"
12,"(12, 13, '0.0134407494339182', '4029.435310156446')","(12, 11, '0.013440107107489182', '4029.242745537452')","(12, 1, '0.011449543268301157', '3432.486719381357')","(12, 23, '0.010450522835070235', '3132.9879281108347')"
13,"(13, 14, '0.013440749433918209', '4029.4353101564484')","(13, 12, '0.013440107107489175', '4029.24274553745')","(13, 2, '0.0077909847743014874', '6666')","(13, 24, '0.006230623057600777', '6666')"
14,"(14, 15, '0.013440749433918205', '4029.4353101564475')","(14, 13, '0.013440107107489175', '4029.24274553745')","(14, 3, '0.008351770332279844', '6666')","(14, 25, '0.006919044149414188', '6666')"
