Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918204', '4029.435310156447')","(0, 10, '0.013440107107489194', '4029.2427455374554')","(0, 55, '0.02149649481975804', '6444.48702039953')","(0, 11, '0.014183476269278085', '4252.099213751547')"
1,"(1, 2, '0.013440749433918202', '4029.4353101564466')","(1, 0, '0.013440107107489172', '4029.242745537449')","(1, 56, '0.021492242799395975', '6443.21229676372')","(1, 12, '0.011769329068981066', '3528.356090600685')"
2,"(2, 3, '0.013440749433918212', '4029.4353101564493')","(2, 1, '0.013440107107489172', '4029.242745537449')","(2, 57, '0.013590505771713727', '6666')","(2, 13, '0.008020948555691349', '6666')"
3,"(3, 4, '0.0134407494339182', '4029.435310156446')","(3, 2, '0.013440107107489179', '4029.242745537451')","(3, 58, '0.014104498909917723', '6666')","(3, 14, '0.008084378072340982', '6666')"
4,"(4, 5, '0.01344074943391819', '4029.4353101564425')","(4, 3, '0.013440107107489179', '4029.242745537451')","(4, 59, '0.021482070007774128', '6440.162570558685')","(4, 15, '0.011848543068010168', '3552.1038500776294')"
5,"(5, 6, '0.013440749433918214', '4029.4353101564498')","(5, 4, '0.013440107107489167', '4029.2427455374473')","(5, 60, '0.021477817357441854', '6438.887658062557')","(5, 16, '0.014202239546942799', '4257.724302882788')"
6,"(6, 7, '0.013440749433918198', '4029.4353101564457')","(6, 5, '0.013440107107489184', '4029.2427455374527')","(6, 61, '0.021473564521582597', '6437.612689946841')","(6, 17, '0.013327264542163026', '3995.4133955112984')"
7,"(7, 8, '0.013440749433918212', '4029.4353101564493')","(7, 6, '0.013440107107489167', '4029.2427455374473')","(7, 62, '0.021469311500285963', '6436.337666238396')","(7, 18, '0.009812638386711798', '2941.7549814174845')"
8,"(8, 9, '0.013440749433918217', '4029.435310156451')","(8, 7, '0.01344010710748918', '4029.2427455374514')","(8, 63, '0.0049099409710696915', '6666')","(8, 19, '0.007266705403535494', '6666')"
9,"(9, 10, '0.013440749433918172', '4029.4353101564375')","(9, 8, '0.013440107107489191', '4029.2427455374545')","(9, 64, '0.021504998302727743', '6666')","(9, 20, '0.00989984320340429', '6666')"
10,"(10, 0, '0.01344074943391822', '4029.4353101564516')","(10, 9, '0.013440107107489148', '4029.242745537442')","(10, 65, '0.021500746654229852', '6445.761688306844')","(10, 21, '0.013380755152785426', '4011.4494771497084')"
