Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918205', '4029.4353101564475')","(0, 10, '0.013440107107489193', '4029.242745537455')","(0, 55, '0.019861234709099066', '5954.248372355723')","(0, 11, '0.01411093762584785', '4230.3526755376115')"
1,"(1, 2, '0.013440749433918207', '4029.435310156448')","(1, 0, '0.013440107107489177', '4029.2427455374504')","(1, 56, '0.01985691815713379', '5952.95430263197')","(1, 12, '0.011505045664974164', '3449.125919304849')"
2,"(2, 3, '0.01344074943391821', '4029.435310156449')","(2, 1, '0.013440107107489175', '4029.24274553745')","(2, 57, '0.011921000894987011', '6666')","(2, 13, '0.007827996749351302', '6666')"
3,"(3, 4, '0.013440749433918205', '4029.4353101564475')","(3, 2, '0.013440107107489182', '4029.242745537452')","(3, 58, '0.015786799278466913', '6666')","(3, 14, '0.008304668392109072', '6666')"
4,"(4, 5, '0.013440749433918195', '4029.4353101564443')","(4, 3, '0.013440107107489172', '4029.242745537449')","(4, 59, '0.019846591127224946', '5949.858336951757')","(4, 15, '0.012101471449548056', '3627.9298712768345')"
5,"(5, 6, '0.01344074943391822', '4029.4353101564516')","(5, 4, '0.013440107107489165', '4029.242745537447')","(5, 60, '0.019842274062032143', '5948.564113366261')","(5, 16, '0.014252231731503131', '4272.71158277292')"
6,"(6, 7, '0.013440749433918197', '4029.4353101564448')","(6, 5, '0.013440107107489187', '4029.2427455374536')","(6, 61, '0.019837956845758373', '5947.269844487829')","(6, 17, '0.013143068325913729', '3940.192759087622')"
7,"(7, 8, '0.013440749433918212', '4029.4353101564493')","(7, 6, '0.013440107107489167', '4029.2427455374473')","(7, 62, '0.01983363947850786', '5945.975530347709')","(7, 18, '0.009529660566378736', '2856.9203651003536')"
8,"(8, 9, '0.013440749433918221', '4029.435310156452')","(8, 7, '0.013440107107489184', '4029.2427455374527')","(8, 63, '0.0053552661733952305', '6666')","(8, 19, '0.007289254682223685', '6666')"
9,"(9, 10, '0.01344074943391818', '4029.4353101564393')","(9, 8, '0.013440107107489193', '4029.242745537455')","(9, 64, '0.019869867358407775', '6666')","(9, 20, '0.01018592590898386', '6666')"
10,"(10, 0, '0.013440749433918223', '4029.4353101564525')","(10, 9, '0.013440107107489148', '4029.242745537442')","(10, 65, '0.019865551109556387', '5955.542396658536')","(10, 21, '0.01354586400942519', '4060.947867119313')"
