Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918205', '4029.4353101564475')","(0, 10, '0.013440107107489193', '4029.242745537455')","(0, 55, '0.020702911323866403', '6206.576673537944')","(0, 11, '0.014150277828247071', '4242.146571513092')"
1,"(1, 2, '0.013440749433918204', '4029.435310156447')","(1, 0, '0.01344010710748918', '4029.2427455374514')","(1, 56, '0.020698626228925605', '6205.292034392877')","(1, 12, '0.011641567609307844', '3490.054168567582')"
2,"(2, 3, '0.013440749433918214', '4029.4353101564498')","(2, 1, '0.013440107107489182', '4029.242745537452')","(2, 57, '0.01277466065445097', '6666')","(2, 13, '0.007924089961838562', '6666')"
3,"(3, 4, '0.013440749433918207', '4029.435310156448')","(3, 2, '0.013440107107489182', '4029.2427455374523')","(3, 58, '0.014923974848130938', '6666')","(3, 14, '0.008189326233344714', '6666')"
4,"(4, 5, '0.013440749433918198', '4029.4353101564457')","(4, 3, '0.01344010710748917', '4029.2427455374486')","(4, 59, '0.020688374378760546', '6202.218607032848')","(4, 15, '0.011972942170103053', '3589.3977626670485')"
5,"(5, 6, '0.013440749433918217', '4029.435310156451')","(5, 4, '0.013440107107489165', '4029.242745537447')","(5, 60, '0.020684088708393382', '6200.9337953792965')","(5, 16, '0.014228765259671181', '4265.676511501832')"
6,"(6, 7, '0.013440749433918195', '4029.4353101564443')","(6, 5, '0.013440107107489186', '4029.242745537453')","(6, 61, '0.02067980286859208', '6199.6489329306705')","(6, 17, '0.013239305278144133', '3969.0438715472033')"
7,"(7, 8, '0.013440749433918214', '4029.4353101564498')","(7, 6, '0.013440107107489174', '4029.2427455374495')","(7, 62, '0.020675516859452646', '6198.364019715749')","(7, 18, '0.009674308272107945', '2900.284656344974')"
8,"(8, 9, '0.013440749433918224', '4029.435310156453')","(8, 7, '0.013440107107489184', '4029.2427455374527')","(8, 63, '0.005045853996857086', '6666')","(8, 19, '0.007273387503693294', '6666')"
9,"(9, 10, '0.013440749433918183', '4029.4353101564407')","(9, 8, '0.013440107107489194', '4029.2427455374554')","(9, 64, '0.020711481004181614', '6666')","(9, 20, '0.010039087321306303', '6666')"
10,"(10, 0, '0.013440749433918223', '4029.4353101564525')","(10, 9, '0.01344010710748915', '4029.2427455374423')","(10, 65, '0.020707196248981742', '6207.861261770617')","(10, 21, '0.01346306503825804', '4036.125360033242')"
11,"(11, 12, '0.013440749433918204', '4029.435310156447')","(11, 21, '0.013440107107489182', '4029.2427455374523')","(11, 0, '0.014149932556817988', '4242.043061742689')","(11, 22, '0.013354477926781879', '4003.5717629766837')"
12,"(12, 13, '0.013440749433918207', '4029.435310156448')","(12, 11, '0.013440107107489179', '4029.242745537451')","(12, 1, '0.011641222337328288', '3489.9506586321527')","(12, 23, '0.010660180710238368', '3195.8417778465464')"
13,"(13, 14, '0.01344074943391821', '4029.435310156449')","(13, 12, '0.013440107107489182', '4029.2427455374523')","(13, 2, '0.007923744699969891', '6666')","(13, 24, '0.006395854678108708', '6666')"
14,"(14, 15, '0.013440749433918205', '4029.4353101564475')","(14, 13, '0.013440107107489177', '4029.2427455374504')","(14, 3, '0.008188980972568729', '6666')","(14, 25, '0.006721645150865236', '6666')"
