Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918204', '4029.435310156447')","(0, 10, '0.013440107107489194', '4029.2427455374554')","(0, 55, '0.021413252794788118', '6419.5316891249')","(0, 11, '0.014180173997638792', '4251.10921761982')"
1,"(1, 2, '0.013440749433918204', '4029.435310156447')","(1, 0, '0.013440107107489177', '4029.2427455374504')","(1, 56, '0.021408997153598695', '6418.255879992356')","(1, 12, '0.011755973492930373', '3524.3521896284424')"
2,"(2, 3, '0.013440749433918212', '4029.4353101564493')","(2, 1, '0.013440107107489175', '4029.24274553745')","(2, 57, '0.013504467770815647', '6666')","(2, 13, '0.008010507807818357', '6666')"
3,"(3, 4, '0.013440749433918204', '4029.435310156447')","(3, 2, '0.01344010710748918', '4029.2427455374514')","(3, 58, '0.014190707957571536', '6666')","(3, 14, '0.008095202361250694', '6666')"
4,"(4, 5, '0.013440749433918193', '4029.435310156444')","(4, 3, '0.013440107107489179', '4029.242745537451')","(4, 59, '0.021398815706576275', '6415.203558963508')","(4, 15, '0.011861739216373875', '3556.0599558317176')"
5,"(5, 6, '0.013440749433918216', '4029.4353101564507')","(5, 4, '0.013440107107489167', '4029.2427455374473')","(5, 60, '0.02139455944097328', '6413.927562636485')","(5, 16, '0.014205225388046546', '4258.619435526478')"
6,"(6, 7, '0.013440749433918198', '4029.4353101564457')","(6, 5, '0.013440107107489187', '4029.2427455374536')","(6, 61, '0.02139030299148269', '6412.651511181349')","(6, 17, '0.013318166890526227', '3992.6859881650744')"
7,"(7, 8, '0.01344074943391821', '4029.435310156449')","(7, 6, '0.01344010710748917', '4029.2427455374486')","(7, 62, '0.021386046358194775', '6411.37540462516')","(7, 18, '0.009798043079604054', '2937.379418424389')"
8,"(8, 9, '0.01344074943391822', '4029.4353101564516')","(8, 7, '0.013440107107489182', '4029.2427455374523')","(8, 63, '0.004916469384546358', '6666')","(8, 19, '0.007267022367842941', '6666')"
9,"(9, 10, '0.01344074943391818', '4029.4353101564393')","(9, 8, '0.013440107107489193', '4029.242745537455')","(9, 64, '0.02142176352432193', '6666')","(9, 20, '0.00991448180586632', '6666')"
10,"(10, 0, '0.013440749433918224', '4029.435310156453')","(10, 9, '0.01344010710748915', '4029.2427455374423')","(10, 65, '0.02141750825172396', '6420.807443019609')","(10, 21, '0.013389584920268262', '4014.0965748469566')"
11,"(11, 12, '0.013440749433918209', '4029.4353101564484')","(11, 21, '0.013440107107489186', '4029.242745537453')","(11, 0, '0.014179828728561529', '4251.005708554476')","(11, 22, '0.013386150747879796', '4013.0670358654224')"
12,"(12, 13, '0.013440749433918209', '4029.4353101564484')","(12, 11, '0.013440107107489179', '4029.242745537451')","(12, 1, '0.011755628222349082', '3524.248680112202')","(12, 23, '0.010784998627838552', '3233.261248166347')"
13,"(13, 14, '0.01344074943391821', '4029.435310156449')","(13, 12, '0.013440107107489175', '4029.24274553745')","(13, 2, '0.008010162540558332', '6666')","(13, 24, '0.0065026098800216505', '6666')"
14,"(14, 15, '0.013440749433918207', '4029.435310156448')","(14, 13, '0.013440107107489177', '4029.2427455374504')","(14, 3, '0.00809485709580417', '6666')","(14, 25, '0.00660664938483789', '6666')"
15,"(15, 16, '0.013440749433918193', '4029.435310156444')","(15, 14, '0.013440107107489175', '4029.24274553745')","(15, 4, '0.011861393948110937', '3555.9564470105024')","(15, 26, '0.010900179878383695', '3267.791718382789')"
16,"(16, 17, '0.013440749433918217', '4029.435310156451')","(16, 15, '0.013440107107489168', '4029.2427455374477')","(16, 5, '0.014204880119512816', '4258.515926624081')","(16, 27, '0.013412683344466618', '4021.0213082133087')"
17,"(17, 18, '0.013440749433918204', '4029.435310156447')","(17, 16, '0.013440107107489186', '4029.242745537453')","(17, 6, '0.013317821620586685', '3992.5824788412256')","(17, 28, '0.012469396154562792', '3738.230922952127')"
18,"(18, 19, '0.013440749433918198', '4029.4353101564457')","(18, 17, '0.013440107107489172', '4029.242745537449')","(18, 7, '0.009797697809476496', '6666')","(18, 29, '0.008609076227329093', '6666')"
19,"(19, 20, '0.01344074943391822', '4029.4353101564516')","(19, 18, '0.013440107107489168', '4029.242745537448')","(19, 8, '0.007266677104025002', '6666')","(19, 30, '0.005561093031963754', '6666')"
20,"(20, 21, '0.013440749433918197', '4029.4353101564448')","(20, 19, '0.013440107107489187', '4029.2427455374536')","(20, 9, '0.009914136538289604', '2972.1833617614516')","(20, 31, '0.008741352835347384', '2620.591652754061')"
21,"(21, 11, '0.013440749433918214', '4029.4353101564498')","(21, 20, '0.013440107107489168', '4029.242745537448')","(21, 10, '0.013389239651885845', '4013.993065989922')","(21, 32, '0.012545641048927369', '3761.0885672436343')"
22,"(22, 23, '0.013440749433918204', '4029.435310156447')","(22, 32, '0.013440107107489196', '4029.242745537456')","(22, 11, '0.01338641635072249', '4013.146661594485')","(22, 33, '0.014180173997638792', '4251.10921761982')"
23,"(23, 24, '0.013440749433918209', '4029.4353101564484')","(23, 22, '0.013440107107489174', '4029.2427455374495')","(23, 12, '0.01078526423215703', '3233.340874337839')","(23, 34, '0.01175597349293038', '3524.352189628444')"
24,"(24, 25, '0.013440749433918209', '4029.4353101564484')","(24, 23, '0.013440107107489174', '4029.2427455374495')","(24, 13, '0.0065028754808985935', '6666')","(24, 35, '0.008010507807818356', '6666')"
25,"(25, 26, '0.013440749433918198', '4029.435310156445')","(25, 24, '0.01344010710748918', '4029.2427455374514')","(25, 14, '0.006606914984031556', '6666')","(25, 36, '0.008095202361250694', '6666')"
26,"(26, 27, '0.013440749433918193', '4029.435310156444')","(26, 25, '0.013440107107489175', '4029.24274553745')","(26, 15, '0.010900445480756648', '3267.8713439710273')","(26, 37, '0.011861739216373877', '3556.059955831718')"
27,"(27, 28, '0.013440749433918217', '4029.435310156451')","(27, 26, '0.013440107107489172', '4029.242745537449')","(27, 16, '0.013412948946867937', '4021.1009338100507')","(27, 38, '0.014205225388046546', '4258.619435526478')"
28,"(28, 29, '0.013440749433918202', '4029.4353101564466')","(28, 27, '0.013440107107489187', '4029.2427455374536')","(28, 17, '0.012469661758212172', '3738.310548923029')","(28, 39, '0.013318166890526228', '3992.685988165075')"
29,"(29, 30, '0.013440749433918212', '4029.4353101564493')","(29, 28, '0.013440107107489168', '4029.2427455374477')","(29, 18, '0.008609341831398366', '2581.015749397138')","(29, 40, '0.009798043079604052', '2937.3794184243884')"
