Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918207', '4029.435310156448')","(0, 10, '0.013440107107489191', '4029.2427455374545')","(0, 55, '0.020954177470852053', '6281.90436935496')","(0, 11, '0.014161202219698464', '4245.421621678459')"
1,"(1, 2, '0.013440749433918202', '4029.4353101564466')","(1, 0, '0.013440107107489179', '4029.242745537451')","(1, 56, '0.020949902496422437', '6280.622764262819')","(1, 12, '0.011682123832961766', '3502.2126185439893')"
2,"(2, 3, '0.013440749433918212', '4029.4353101564493')","(2, 1, '0.013440107107489174', '4029.2427455374495')","(2, 57, '0.013031889441489976', '6666')","(2, 13, '0.007954107410671176', '6666')"
3,"(3, 4, '0.013440749433918205', '4029.4353101564475')","(3, 2, '0.013440107107489182', '4029.2427455374523')","(3, 58, '0.014665105012922416', '6666')","(3, 14, '0.008155680608358147', '6666')"
4,"(4, 5, '0.013440749433918198', '4029.4353101564457')","(4, 3, '0.013440107107489175', '4029.24274553745')","(4, 59, '0.020939674836267106', '6277.556588885263')","(4, 15, '0.011933893779271332', '3577.691349598662')"
5,"(5, 6, '0.013440749433918217', '4029.435310156451')","(5, 4, '0.013440107107489165', '4029.242745537447')","(5, 60, '0.020935399268747896', '6276.274805989335')","(5, 16, '0.014220833392964595', '4263.298597685336')"
6,"(6, 7, '0.013440749433918198', '4029.4353101564457')","(6, 5, '0.013440107107489187', '4029.2427455374536')","(6, 61, '0.02093112352658297', '6274.992970735937')","(6, 17, '0.013267450273104223', '3977.4815287666866')"
7,"(7, 8, '0.013440749433918209', '4029.4353101564484')","(7, 6, '0.013440107107489172', '4029.242745537449')","(7, 62, '0.020926847609866156', '6273.7110831532')","(7, 18, '0.009717907706337497', '2913.35543790006')"
8,"(8, 9, '0.013440749433918221', '4029.435310156452')","(8, 7, '0.013440107107489182', '4029.242745537452')","(8, 63, '0.004985357699446928', '6666')","(8, 19, '0.0072703915323288565', '6666')"
9,"(9, 10, '0.013440749433918181', '4029.4353101564398')","(9, 8, '0.013440107107489191', '4029.2427455374545')","(9, 64, '0.02096272689454052', '6666')","(9, 20, '0.009995077555665524', '6666')"
10,"(10, 0, '0.013440749433918224', '4029.435310156453')","(10, 9, '0.013440107107489148', '4029.242745537442')","(10, 65, '0.02095845227025407', '6283.185921975149')","(10, 21, '0.013437453630815163', '4028.4472532431023')"
11,"(11, 12, '0.013440749433918204', '4029.435310156447')","(11, 21, '0.013440107107489186', '4029.242745537453')","(11, 0, '0.014160856949099274', '4245.318112156852')","(11, 22, '0.013366052476329313', '4007.0417256357514')"
12,"(12, 13, '0.013440749433918212', '4029.4353101564493')","(12, 11, '0.013440107107489177', '4029.2427455374504')","(12, 1, '0.011681778561469085', '3502.1091087545215')","(12, 23, '0.010704454562639756', '3209.1147448830875')"
13,"(13, 14, '0.013440749433918212', '4029.4353101564493')","(13, 12, '0.01344010710748918', '4029.2427455374514')","(13, 2, '0.007953762146850719', '6666')","(13, 24, '0.006433005581068824', '6666')"
14,"(14, 15, '0.01344074943391821', '4029.435310156449')","(14, 13, '0.01344010710748918', '4029.2427455374514')","(14, 3, '0.008155335345981205', '6666')","(14, 25, '0.006680613662415423', '6666')"
15,"(15, 16, '0.013440749433918197', '4029.4353101564448')","(15, 14, '0.013440107107489177', '4029.2427455374504')","(15, 4, '0.011933548510093083', '3577.587840503043')","(15, 26, '0.010978653828789112', '3291.317616863799')"
16,"(16, 17, '0.013440749433918214', '4029.4353101564498')","(16, 15, '0.013440107107489165', '4029.242745537447')","(16, 5, '0.014220488122914356', '4263.195088328301')","(16, 27, '0.013429212194223841', '4025.976532709939')"
17,"(17, 18, '0.013440749433918198', '4029.435310156445')","(17, 16, '0.013440107107489191', '4029.2427455374545')","(17, 6, '0.013267105001793532', '3977.3780190317775')","(17, 28, '0.012415214091779987', '3721.98754917096')"
18,"(18, 19, '0.013440749433918198', '4029.4353101564457')","(18, 17, '0.013440107107489177', '4029.2427455374504')","(18, 7, '0.00971756243658083', '6666')","(18, 29, '0.008517765390525425', '6666')"
19,"(19, 20, '0.013440749433918221', '4029.435310156452')","(19, 18, '0.013440107107489172', '4029.242745537449')","(19, 8, '0.007270046274447647', '6666')","(19, 30, '0.005565494524713273', '6666')"
20,"(20, 21, '0.013440749433918198', '4029.4353101564457')","(20, 19, '0.013440107107489184', '4029.2427455374527')","(20, 9, '0.009994732288339869', '2996.3453597733737')","(20, 31, '0.008832656629561435', '2647.963841646218')"
21,"(21, 11, '0.013440749433918214', '4029.4353101564498')","(21, 20, '0.013440107107489167', '4029.2427455374473')","(21, 10, '0.013437108361074666', '4028.3437439789254')","(21, 32, '0.012596716086653761', '3776.4004783460723')"
22,"(22, 23, '0.013440749433918202', '4029.4353101564466')","(22, 32, '0.013440107107489193', '4029.242745537455')","(22, 11, '0.013366318080488498', '4007.121351759489')","(22, 33, '0.014161202219698455', '4245.421621678456')"
23,"(23, 24, '0.013440749433918202', '4029.4353101564466')","(23, 22, '0.013440107107489175', '4029.24274553745')","(23, 12, '0.010704720167899981', '3209.1943713369083')","(23, 34, '0.011682123832961763', '3502.2126185439884')"
24,"(24, 25, '0.01344074943391821', '4029.435310156449')","(24, 23, '0.013440107107489182', '4029.2427455374523')","(24, 13, '0.006433271178378849', '6666')","(24, 35, '0.007954107410671176', '6666')"
25,"(25, 26, '0.013440749433918209', '4029.4353101564484')","(25, 24, '0.013440107107489182', '4029.2427455374523')","(25, 14, '0.006680879258585585', '6666')","(25, 36, '0.008155680608358149', '6666')"
26,"(26, 27, '0.013440749433918198', '4029.435310156445')","(26, 25, '0.013440107107489174', '4029.2427455374495')","(26, 15, '0.010978919432090154', '3291.397242730271')","(26, 37, '0.011933893779271329', '3577.691349598661')"
27,"(27, 28, '0.013440749433918217', '4029.435310156451')","(27, 26, '0.013440107107489154', '4029.242745537444')","(27, 16, '0.013429477797935751', '4026.056158699586')","(27, 38, '0.01422083339296459', '4263.298597685334')"
28,"(28, 29, '0.013440749433918198', '4029.435310156445')","(28, 27, '0.01344010710748919', '4029.242745537454')","(28, 17, '0.012415479696660861', '3722.067175511054')","(28, 39, '0.013267450273104216', '3977.4815287666843')"
29,"(29, 30, '0.01344074943391821', '4029.435310156449')","(29, 28, '0.013440107107489168', '4029.242745537448')","(29, 18, '0.008518030994539195', '2553.64144917309')","(29, 40, '0.0097179077063375', '2913.355437900061')"
30,"(30, 31, '0.013440749433918223', '4029.4353101564525')","(30, 29, '0.01344010710748918', '4029.2427455374514')","(30, 19, '0.005565760112569691', '6666')","(30, 41, '0.0072703915323288565', '6666')"
31,"(31, 32, '0.013440749433918181', '4029.4353101564398')","(31, 30, '0.013440107107489191', '4029.2427455374545')","(31, 20, '0.008832922231432479', '6666')","(31, 42, '0.009995077555665522', '6666')"
32,"(32, 22, '0.013440749433918223', '4029.4353101564525')","(32, 31, '0.01344010710748915', '4029.2427455374423')","(32, 21, '0.012596981690239269', '3776.480104297825')","(32, 43, '0.013437453630815166', '4028.447253243103')"
33,"(33, 34, '0.013440749433918207', '4029.435310156448')","(33, 43, '0.013440107107489186', '4029.242745537453')","(33, 22, '0.01416085694909927', '4245.318112156851')","(33, 44, '0.013366052476329299', '4007.0417256357473')"
34,"(34, 35, '0.013440749433918205', '4029.4353101564475')","(34, 33, '0.013440107107489179', '4029.242745537451')","(34, 23, '0.011681778561469085', '3502.1091087545215')","(34, 45, '0.010704454562639751', '3209.114744883086')"
35,"(35, 36, '0.013440749433918212', '4029.4353101564493')","(35, 34, '0.013440107107489177', '4029.2427455374504')","(35, 24, '0.007953762146850724', '6666')","(35, 46, '0.006433005581068829', '6666')"
