Time,Lat,Lon,Alt
10 Feb 2023 04:00:01.000000000,-16.421522940211258,72.1125858657857,774.5600554783965
10 Feb 2023 04:00:02.000000000,-16.481270710100723,72.11534328156162,774.5720913450157
10 Feb 2023 04:00:03.000000000,-16.541017846218985,72.11810493119363,774.5841659594512
10 Feb 2023 04:00:04.000000000,-16.600764346256927,72.12087083350657,774.5962792684891
10 Feb 2023 04:00:05.000000000,-16.660510207905084,72.12364100735239,774.6084312187518
10 Feb 2023 04:00:06.000000000,-16.720255428853648,72.12641547163447,774.6206217566796
10 Feb 2023 04:00:07.000000000,-16.78000000679242,72.12919424529153,774.6328508285586
10 Feb 2023 04:00:08.000000000,-16.839743939410873,72.1319773473078,774.6451183804913
10 Feb 2023 04:00:09.000000000,-16.899487224398104,72.1347647967095,774.6574243584195
10 Feb 2023 04:00:10.000000000,-16.959229859442804,72.13755661256131,774.6697687081215
10 Feb 2023 04:00:11.000000000,-17.018971842233316,72.14035281397416,774.6821513751955
10 Feb 2023 04:00:12.000000000,-17.07871317045757,72.14315342010164,774.6945723050773
10 Feb 2023 04:00:13.000000000,-17.138453841803116,72.14595845013639,774.70703144304
10 Feb 2023 04:00:14.000000000,-17.198193853957076,72.14876792331674,774.7195287341783
10 Feb 2023 04:00:15.000000000,-17.257933204606193,72.15158185892949,774.7320641234273
10 Feb 2023 04:00:16.000000000,-17.317671891436785,72.1544002762935,774.7446375555554
10 Feb 2023 04:00:17.000000000,-17.377409912134734,72.15722319478165,774.7572489751634
10 Feb 2023 04:00:18.000000000,-17.437147264385523,72.16005063380443,774.7698983266803
10 Feb 2023 04:00:19.000000000,-17.49688394587415,72.16288261282052,774.7825855543734
10 Feb 2023 04:00:20.000000000,-17.55661995428524,72.16571915133298,774.7953106023433
10 Feb 2023 04:00:21.000000000,-17.61635528730291,72.16856026888584,774.8080734145287
10 Feb 2023 04:00:22.000000000,-17.67608994261085,72.17140598507186,774.8208739346943
10 Feb 2023 04:00:23.000000000,-17.735823917892272,72.17425631953031,774.8337121064463
10 Feb 2023 04:00:24.000000000,-17.795557210829944,72.17711129193694,774.8465878732237
10 Feb 2023 04:00:25.000000000,-17.855289819106126,72.1799709220272,774.8595011783001
10 Feb 2023 04:00:26.000000000,-17.915021740402615,72.1828352295671,774.8724519647897
10 Feb 2023 04:00:27.000000000,-17.974752972400704,72.18570423438413,774.8854401756338
10 Feb 2023 04:00:28.000000000,-18.034483512781204,72.1885779563368,774.8984657536142
10 Feb 2023 04:00:29.000000000,-18.094213359224405,72.19145641534433,774.9115286413504
10 Feb 2023 04:00:30.000000000,-18.1539425094101,72.19433963136252,774.9246287812957
10 Feb 2023 04:00:31.000000000,-18.213670961017538,72.19722762440074,774.9377661157412
10 Feb 2023 04:00:32.000000000,-18.273398711725466,72.2001204145092,774.9509405868191
10 Feb 2023 04:00:33.000000000,-18.333125759212074,72.20301802179604,774.9641521364911
10 Feb 2023 04:00:34.000000000,-18.392852101155032,72.2059204664043,774.977400706563
10 Feb 2023 04:00:35.000000000,-18.452577735231426,72.20882776853547,774.990686238672
10 Feb 2023 04:00:36.000000000,-18.51230265911782,72.21173994843289,775.0040086743047
10 Feb 2023 04:00:37.000000000,-18.57202687049019,72.21465702639227,775.0173679547709
10 Feb 2023 04:00:38.000000000,-18.631750367023933,72.21757902275824,775.0307640212342
10 Feb 2023 04:00:39.000000000,-18.691473146393896,72.2205059579206,775.0441968146812
10 Feb 2023 04:00:40.000000000,-18.751195206274293,72.22343785232232,775.0576662759569
10 Feb 2023 04:00:41.000000000,-18.810916544338763,72.22637472645594,775.0711723457264
10 Feb 2023 04:00:42.000000000,-18.870637158260323,72.22931660085996,775.0847149645118
10 Feb 2023 04:00:43.000000000,-18.93035704571142,72.23226349612816,775.098294072661
10 Feb 2023 04:00:44.000000000,-18.990076204363803,72.23521543289944,775.111909610366
10 Feb 2023 04:00:45.000000000,-19.04979463188867,72.2381724318698,775.1255615176676
10 Feb 2023 04:00:46.000000000,-19.109512325956505,72.24113451377573,775.1392497344397
10 Feb 2023 04:00:47.000000000,-19.169229284237197,72.24410169941775,775.1529742003977
10 Feb 2023 04:00:48.000000000,-19.228945504399963,72.24707400963744,775.1667348550942
10 Feb 2023 04:00:49.000000000,-19.28866098411333,72.2500514653344,775.1805316379371
10 Feb 2023 04:00:50.000000000,-19.348375721045183,72.2530340874538,775.1943644881642
10 Feb 2023 04:00:51.000000000,-19.408089712862704,72.25602189700312,775.2082333448586
10 Feb 2023 04:00:52.000000000,-19.467802957232387,72.25901491502954,775.2221381469484
10 Feb 2023 04:00:53.000000000,-19.527515451820022,72.26201316264056,775.2360788332014
10 Feb 2023 04:00:54.000000000,-19.587227194290712,72.2650166610005,775.2500553422275
10 Feb 2023 04:00:55.000000000,-19.646938182308805,72.2680254313141,775.2640676124853
10 Feb 2023 04:00:56.000000000,-19.70664841353793,72.27103949485495,775.2781155822676
10 Feb 2023 04:00:57.000000000,-19.766357885640986,72.27405887293509,775.2921991897273
10 Feb 2023 04:00:58.000000000,-19.826066596280143,72.27708358693457,775.3063183728378
10 Feb 2023 04:00:59.000000000,-19.885774543116757,72.28011365827761,775.3204730694401
10 Feb 2023 04:01:00.000000000,-19.945481723811476,72.28314910844941,775.3346632172074
