Node_List,B_Link_Name_List,F_Link_Name_List,L_Link_Name_List,R_Link_Name_List,B_Propagation_Delay_List,F_Propagation_Delay_List,L_Propagation_Delay_List,R_Propagation_Delay_List,B_Propagation_Distance_List,F_Propagation_Distance_List,L_Propagation_Distance_List,R_Propagation_Distance_List
Iridium0_0,Iridium0_1/Reciver_Iridium0_1 to Iridium0_0/Transmitter_Iridium0_0,Iridium0_10/Reciver_Iridium0_10 to Iridium0_0/Transmitter_Iridium0_0,Iridium5_0/Reciver_Iridium5_0 to Iridium0_0/Transmitter_Iridium0_0,Iridium1_0/Reciver_Iridium1_0 to Iridium0_0/Transmitter_Iridium0_0,0.013440749433918207,0.013440107107489191,0.020282842881821302,0.0141311693238927,4029.435310156448,4029.2427455374545,6080.643322769011,4236.41798602399
Iridium0_1,Iridium0_2/Reciver_Iridium0_2 to Iridium0_1/Transmitter_Iridium0_1,Iridium0_0/Reciver_Iridium0_0 to Iridium0_1/Transmitter_Iridium0_1,Iridium5_1/Reciver_Iridium5_1 to Iridium0_1/Transmitter_Iridium0_1,Iridium1_1/Reciver_Iridium1_1 to Iridium0_1/Transmitter_Iridium0_1,0.013440749433918202,0.013440107107489177,0.02027854161035712,0.01157355776080504,4029.4353101564466,4029.2427455374504,6079.353834024239,3469.6653289167193
Iridium0_2,Iridium0_3/Reciver_Iridium0_3 to Iridium0_2/Transmitter_Iridium0_2,Iridium0_1/Reciver_Iridium0_1 to Iridium0_2/Transmitter_Iridium0_2,Iridium5_2/Reciver_Iridium5_2 to Iridium0_2/Transmitter_Iridium0_2,Iridium1_2/Reciver_Iridium1_2 to Iridium0_2/Transmitter_Iridium0_2,0.01344074943391821,0.013440107107489179,0.012347015325822584,0.007875267654718089,4029.435310156449,4029.242745537451,3701.542073492023,2360.945847615831
Iridium0_3,Iridium0_4/Reciver_Iridium0_4 to Iridium0_3/Transmitter_Iridium0_3,Iridium0_2/Reciver_Iridium0_2 to Iridium0_3/Transmitter_Iridium0_3,Iridium5_3/Reciver_Iridium5_3 to Iridium0_3/Transmitter_Iridium0_3,Iridium1_3/Reciver_Iridium1_3 to Iridium0_3/Transmitter_Iridium0_3,0.013440749433918209,0.013440107107489179,0.015355450446909088,0.008246397274223292,4029.4353101564484,4029.242745537451,4603.448233176074,2472.2077084839007
Iridium0_4,Iridium0_5/Reciver_Iridium0_5 to Iridium0_4/Transmitter_Iridium0_4,Iridium0_3/Reciver_Iridium0_3 to Iridium0_4/Transmitter_Iridium0_4,Iridium5_4/Reciver_Iridium5_4 to Iridium0_4/Transmitter_Iridium0_4,Iridium1_4/Reciver_Iridium1_4 to Iridium0_4/Transmitter_Iridium0_4,0.013440749433918193,0.013440107107489172,0.020268251097746152,0.012037525454598134,4029.435310156444,4029.242745537449,6076.268815954518,3608.759344271542
Iridium0_5,Iridium0_6/Reciver_Iridium0_6 to Iridium0_5/Transmitter_Iridium0_5,Iridium0_4/Reciver_Iridium0_4 to Iridium0_5/Transmitter_Iridium0_5,Iridium5_5/Reciver_Iridium5_5 to Iridium0_5/Transmitter_Iridium0_5,Iridium1_5/Reciver_Iridium1_5 to Iridium0_5/Transmitter_Iridium0_5,0.013440749433918214,0.013440107107489167,0.020263949281282063,0.014241070876287043,4029.4353101564498,4029.2427455374473,6074.979163822883,4269.365642554307
Iridium0_6,Iridium0_7/Reciver_Iridium0_7 to Iridium0_6/Transmitter_Iridium0_6,Iridium0_5/Reciver_Iridium0_5 to Iridium0_6/Transmitter_Iridium0_6,Iridium5_6/Reciver_Iridium5_6 to Iridium0_6/Transmitter_Iridium0_6,Iridium1_6/Reciver_Iridium1_6 to Iridium0_6/Transmitter_Iridium0_6,0.013440749433918198,0.013440107107489186,0.020259647304361618,0.013191649380615211,4029.4353101564457,4029.242745537453,6073.689463587643,3954.7569928888115
Iridium0_7,Iridium0_8/Reciver_Iridium0_8 to Iridium0_7/Transmitter_Iridium0_7,Iridium0_6/Reciver_Iridium0_6 to Iridium0_7/Transmitter_Iridium0_7,Iridium5_7/Reciver_Iridium5_7 to Iridium0_7/Transmitter_Iridium0_7,Iridium1_7/Reciver_Iridium1_7 to Iridium0_7/Transmitter_Iridium0_7,0.013440749433918209,0.013440107107489172,0.020255345167084726,0.009601842895909757,4029.4353101564484,4029.242745537449,6072.399715278751,2878.560083094624
Iridium0_8,Iridium0_9/Reciver_Iridium0_9 to Iridium0_8/Transmitter_Iridium0_8,Iridium0_7/Reciver_Iridium0_7 to Iridium0_8/Transmitter_Iridium0_8,Iridium5_8/Reciver_Iridium5_8 to Iridium0_8/Transmitter_Iridium0_8,Iridium1_8/Reciver_Iridium1_8 to Iridium0_8/Transmitter_Iridium0_8,0.013440749433918217,0.013440107107489177,0.005180737438798066,0.00728019277094386,4029.435310156451,4029.2427455374504,1553.1460110298967,2182.546885515091
Iridium0_9,Iridium0_10/Reciver_Iridium0_10 to Iridium0_9/Transmitter_Iridium0_9,Iridium0_8/Reciver_Iridium0_8 to Iridium0_9/Transmitter_Iridium0_9,Iridium5_9/Reciver_Iridium5_9 to Iridium0_9/Transmitter_Iridium0_9,Iridium1_9/Reciver_Iridium1_9 to Iridium0_9/Transmitter_Iridium0_9,0.013440749433918183,0.013440107107489186,0.020291444942062017,0.01011248863473159,4029.4353101564407,4029.242745537453,6083.222155552439,3031.6478243032475
Iridium0_10,Iridium0_0/Reciver_Iridium0_0 to Iridium0_10/Transmitter_Iridium0_10,Iridium0_9/Reciver_Iridium0_9 to Iridium0_10/Transmitter_Iridium0_10,Iridium5_10/Reciver_Iridium5_10 to Iridium0_10/Transmitter_Iridium0_10,Iridium1_10/Reciver_Iridium1_10 to Iridium0_10/Transmitter_Iridium0_10,0.013440749433918221,0.013440107107489151,0.0202871439924209,0.013504961617688544,4029.435310156452,4029.2427455374427,6081.932763287795,4048.6856385625047
Iridium1_0,Iridium1_1/Reciver_Iridium1_1 to Iridium1_0/Transmitter_Iridium1_0,Iridium1_10/Reciver_Iridium1_10 to Iridium1_0/Transmitter_Iridium1_0,Iridium0_0/Reciver_Iridium0_0 to Iridium1_0/Transmitter_Iridium1_0,Iridium2_0/Reciver_Iridium2_0 to Iridium1_0/Transmitter_Iridium1_0,0.013440749433918205,0.013440107107489184,0.01413082405108077,0.013334229552140588,4029.4353101564475,4029.2427455374527,4236.314475839022,3997.5014529724663
Iridium1_1,Iridium1_2/Reciver_Iridium1_2 to Iridium1_1/Transmitter_Iridium1_1,Iridium1_0/Reciver_Iridium1_0 to Iridium1_1/Transmitter_Iridium1_1,Iridium0_1/Reciver_Iridium0_1 to Iridium1_1/Transmitter_Iridium1_1,Iridium2_1/Reciver_Iridium2_1 to Iridium1_1/Transmitter_Iridium1_1,0.013440749433918204,0.013440107107489174,0.011573212488030745,0.010585869801012136,4029.435310156447,4029.2427455374495,3469.5618187430327,3173.563927713399
Iridium1_2,Iridium1_3/Reciver_Iridium1_3 to Iridium1_2/Transmitter_Iridium1_2,Iridium1_1/Reciver_Iridium1_1 to Iridium1_2/Transmitter_Iridium1_2,Iridium0_2/Reciver_Iridium0_2 to Iridium1_2/Transmitter_Iridium1_2,Iridium2_2/Reciver_Iridium2_2 to Iridium1_2/Transmitter_Iridium1_2,0.013440749433918209,0.013440107107489174,0.00787492239622102,0.00633526851912353,4029.4353101564484,4029.2427455374495,2360.84234172235,1899.265721438063
Iridium1_3,Iridium1_4/Reciver_Iridium1_4 to Iridium1_3/Transmitter_Iridium1_3,Iridium1_2/Reciver_Iridium1_2 to Iridium1_3/Transmitter_Iridium1_3,Iridium0_3/Reciver_Iridium0_3 to Iridium1_3/Transmitter_Iridium1_3,Iridium2_3/Reciver_Iridium2_3 to Iridium1_3/Transmitter_Iridium1_3,0.013440749433918207,0.013440107107489177,0.008246052016001867,0.006791058673820459,4029.435310156448,4029.2427455374504,2472.1042026730547,2035.9081722468554
Iridium1_4,Iridium1_5/Reciver_Iridium1_5 to Iridium1_4/Transmitter_Iridium1_4,Iridium1_3/Reciver_Iridium1_3 to Iridium1_4/Transmitter_Iridium1_4,Iridium0_4/Reciver_Iridium0_4 to Iridium1_4/Transmitter_Iridium1_4,Iridium2_4/Reciver_Iridium2_4 to Iridium1_4/Transmitter_Iridium1_4,0.013440749433918197,0.013440107107489172,0.01203718018404984,0.011091211552871363,4029.4353101564448,4029.242745537449,3608.6558347651935,3325.061573633303
